chance_of_playing_next_round,chance_of_playing_this_round,player_code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,player_type_id,ep_next,ep_this,event_points,first_name,form,player_id,in_dreamteam,news,news_added,now_cost,photo,PPG,second_name,selected_by_percent,status,team_id,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,total_minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,PP90,PPMM,VAPM
100.0,100.0,156074,0,0,-4,4,0,2,0.0,1.6,0,Rob,0.3,14,False,,2021-09-11 17:30:15.865590,41,156074.jpg,2.0,Holding,0.6,a,1,3,14,68863,671,179073,1572,0.1,3.4,Holding,427,0,0,2,8,0,0,0,2,0,0,0,83,128.2,3.4,30.0,16.2,310,119,430,161,350,124,374,137,,,,,,,2.9508196721311477,0.48780487804878053,0.0
100.0,100.0,167199,0,0,0,0,0,3,0.0,7.0,7,Thomas,3.0,15,False,,2022-01-20 22:30:17.159532,50,167199.jpg,2.6,Partey,0.2,a,1,3,50,66142,573,60608,457,0.6,10.0,Partey,1583,1,1,8,18,0,0,0,4,0,0,1,256,258.4,188.6,293.0,74.2,186,71,152,94,98,57,139,75,,,3.0,,,,2.842703727100442,0.52,0.12000000000000002
100.0,100.0,192895,0,0,1,-1,3,2,0.0,7.6,4,Kieran,3.3,16,False,,2021-10-22 22:30:11.717934,51,192895.jpg,5.1,Tierney,12.8,a,1,3,92,1723211,13338,1169630,54549,0.6,18.0,Tierney,1546,1,3,9,17,0,0,0,0,0,0,11,371,279.2,252.3,194.0,72.7,172,72,104,21,158,31,145,39,,,,,,,5.3557567917205695,1.0,0.6078431372549019
100.0,100.0,195735,0,0,-6,6,0,3,0.0,2.4,2,Nicolas,0.7,17,False,,2022-01-01 17:00:18.580071,69,195735.jpg,2.5,Pépé,0.8,a,1,3,27,127388,425,346591,709,0.1,3.9,Pépé,525,0,3,2,7,0,0,0,0,0,0,0,84,80.4,191.4,294.0,56.7,361,150,148,91,96,55,202,98,1.0,,2.0,,3.0,,4.628571428571428,0.36231884057971014,0.07246376811594203
0.0,0.0,198849,0,0,0,0,0,3,0.0,0.0,0,Lucas,0.0,18,False,Joined Fiorentina on a season-long loan - Expected back 01 Jul,2021-08-25 22:00:08.179808,45,198849.jpg,0.0,Torreira,0.1,u,1,3,0,6292,0,33749,39,0.0,0.0,Torreira,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,608,231,604,232,585,229,610,232,,,,,,,,0.0,-0.4444444444444444
100.0,100.0,205533,0,0,-1,1,0,4,0.0,3.0,2,Edward,1.0,20,False,,2021-08-08 18:00:05.173437,54,205533.jpg,1.0,Nketiah,0.2,a,1,3,7,47407,667,42090,996,0.2,1.3,Nketiah,70,0,0,0,3,0,0,0,0,0,0,0,24,12.0,35.1,21.0,6.9,452,53,338,49,370,54,423,54,,,,,,,9.0,0.18518518518518517,-0.18518518518518517
100.0,100.0,209289,0,0,3,-3,1,3,0.0,9.0,11,Emile,4.0,21,False,,2022-01-10 00:00:11.929210,58,209289.jpg,4.9,Smith Rowe,14.0,a,1,3,103,3692328,37973,3109288,30865,0.7,17.8,Smith Rowe,1373,9,2,7,21,0,0,0,0,0,0,9,363,478.4,336.1,418.0,123.1,43,16,66,48,55,31,40,27,3.0,,,,,,6.751638747268755,0.8448275862068967,0.5000000000000001
100.0,100.0,223340,0,0,0,0,2,3,0.0,10.4,11,Bukayo,4.7,22,False,,2022-01-13 23:00:13.665796,65,223340.jpg,4.6,Saka,20.3,a,1,3,110,3112573,54981,2405197,75867,0.7,16.9,Saka,1810,7,5,11,18,0,0,0,4,0,0,9,352,460.8,540.9,767.0,176.7,52,19,13,11,9,6,14,10,4.0,,,,,,5.469613259668508,0.7076923076923076,0.39999999999999997
100.0,100.0,226597,0,0,3,-3,3,2,0.0,12.4,3,Gabriel,5.7,23,False,,2021-08-04 10:30:07.822243,53,226597.jpg,4.8,Magalhães,7.1,a,1,3,101,1095294,15115,515815,39120,1.1,19.1,Gabriel,1826,3,0,11,18,0,0,0,4,1,0,11,443,440.2,69.9,276.0,78.5,62,20,274,80,105,10,128,29,,,,,,,4.978094194961665,0.9056603773584906,0.5283018867924528
0.0,0.0,233963,0,0,0,0,0,2,0.0,0.0,0,Konstantinos,0.0,24,False,Season long loan to Stuttgart,2021-07-02 08:43:27.623007,45,233963.jpg,0.0,Mavropanos,0.0,u,1,3,0,0,0,44,0,0.0,0.0,Mavropanos,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,627,234,623,234,606,232,629,234,,,,,,,,0.0,-0.4444444444444444
