chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text
0.0,100.0,192895,0,0,-1,1,0,2,0.0,1.5,2,Kieran,1.0,17,False,Unavailable due to illness guidelines. - Expected back 25 Oct,2020-10-14T10:30:19.613747Z,54,192895.jpg,3.0,Tierney,6.3,False,,n,1,3,9,80663,6589,418298,50289,0.2,1.7,Tierney,270,0,0,1,4,0,0,0,0,0,0,0,55,56.6,24.5,2.0,8.3,122,46,144,39,276,97,178,52,,,,,,
,,195735,-1,1,-3,3,0,3,2.2,3.2,6,Nicolas,2.7,18,False,,,77,195735.jpg,2.2,Pépé,0.9,False,,a,1,3,9,10792,4177,101400,6025,0.4,1.2,Pépé,95,1,0,0,2,0,0,0,0,0,0,0,30,37.4,20.0,33.0,9.0,195,81,165,100,122,63,167,82,1.0,,3.0,,2.0,
0.0,,198849,0,0,-2,2,0,3,0.0,0.5,0,Lucas,0.0,19,False,Joined Atletico Madrid on loan until the end of the season on 5/10. - Expected back 01 Jul,2020-10-05T22:30:19.674811Z,48,198849.jpg,0.0,Torreira,0.2,False,,n,1,3,0,3119,309,12393,2741,0.0,0.0,Torreira,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,483,191,474,192,446,176,487,191,,,,,,
,,200089,-1,1,-2,2,0,3,-0.5,0.5,0,Joseph,0.0,20,False,,,48,200089.jpg,0.0,Willock,0.1,False,,a,1,3,0,1272,206,4867,666,0.0,0.0,Willock,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,484,192,475,193,447,177,488,192,,,,,,
75.0,,200641,0,0,-2,2,0,3,-0.4,0.5,0,Reiss,0.0,21,False,Hamstring injury - 75% chance of playing,2020-10-05T10:00:15.059375Z,53,200641.jpg,0.0,Nelson,0.1,False,,d,1,3,0,716,56,3800,622,0.0,0.0,Nelson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,534,215,531,216,521,208,538,215,5.0,,,,,
,,205533,0,0,-2,2,0,4,2.8,3.8,1,Edward,3.3,22,False,,,58,205533.jpg,2.8,Nketiah,0.9,False,,a,1,3,11,24298,2637,91091,12060,0.6,1.9,Nketiah,90,1,0,0,1,0,0,0,0,0,0,3,39,39.4,3.2,42.0,8.3,182,22,267,39,95,31,179,31,,,,,,
100.0,0.0,209289,-1,1,-1,1,0,3,-0.5,0.0,0,Emile,0.0,23,False,,2020-09-11T11:00:08.673059Z,44,209289.jpg,0.0,Smith Rowe,0.2,False,,a,1,3,0,3467,2465,9796,1497,0.0,0.0,Smith Rowe,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,418,166,402,167,362,145,423,166,,,,,,
,,223340,0,0,-2,2,0,3,2.8,3.8,8,Bukayo,3.3,24,False,,,53,223340.jpg,5.0,Saka,3.3,False,,a,1,3,10,44950,13324,333193,27608,0.6,1.9,Saka,174,1,0,0,2,0,0,0,0,0,0,1,37,48.0,26.3,83.0,15.8,142,56,135,84,40,19,79,47,4.0,,,,,
0.0,,242166,0,0,-2,2,0,3,0.0,0.5,0,Matteo,0.0,25,False,Joined Hertha Berlin on loan until the end of the season on 5/10. - Expected back 01 Jul,2020-10-05T17:00:15.072120Z,48,242166.jpg,0.0,Guendouzi,0.1,False,,n,1,3,0,2511,274,9348,2101,0.0,0.0,Guendouzi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,485,193,476,194,449,178,489,193,,,,,,
0.0,0.0,444145,0,0,-1,1,0,3,0.0,0.0,0,Gabriel Teodoro,0.0,26,False,Knee injury - Expected back 31 Dec,2020-08-15T10:00:11.409498Z,49,444145.jpg,0.0,Martinelli Silva,0.0,False,,i,1,3,0,503,86,1829,235,0.0,0.0,Martinelli,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,514,203,506,204,491,195,518,203,,,,,,
,,462424,-1,1,-3,3,0,2,-0.5,0.5,0,William,0.0,27,False,,,42,462424.jpg,0.0,Saliba,1.2,False,,a,1,3,0,16425,2518,162575,15808,0.0,0.0,Saliba,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,385,145,368,144,323,124,390,145,,,,,,
,,47431,-1,1,-1,1,1,3,1.5,2.5,2,Willian,2.0,478,False,,,79,47431.jpg,5.0,Borges Da Silva,10.1,False,,a,1,3,20,710016,20366,740207,201504,0.3,2.5,Willian,294,0,3,1,4,0,0,0,0,0,0,2,64,52.2,80.9,42.0,17.6,136,52,29,21,97,51,62,37,2.0,,1.0,,,
,,226597,0,0,1,-1,1,2,0.8,1.8,2,Gabriel,1.3,494,False,,,51,226597.jpg,6.3,Magalhães,12.5,False,,a,1,3,19,768773,38363,326857,73446,0.3,3.7,Gabriel,270,1,0,1,2,0,0,0,0,0,0,3,68,98.6,3.3,35.0,13.7,43,13,263,87,115,24,102,27,,,,,,
,,182539,0,0,0,0,0,3,3.2,4.2,3,Daniel,3.7,501,False,,,50,182539.jpg,3.0,Ceballos Fernández,2.1,False,,a,1,3,12,103681,9386,102165,22406,0.7,2.4,Ceballos,212,0,1,1,2,0,0,0,1,0,0,3,63,77.0,69.4,24.0,17.1,73,28,42,33,154,82,68,40,3.0,,,,,
,,153256,0,0,0,0,0,3,0.8,1.8,2,Mohamed Naser,1.3,526,False,,,45,153256.jpg,2.3,El Sayed Elneny,1.5,False,,a,1,3,7,140463,8296,86607,15808,0.3,1.6,Elneny,270,0,0,1,4,0,0,0,0,0,0,0,51,42.6,19.7,22.0,8.4,165,68,167,102,160,86,175,86,,,,,,
,,113534,0,0,0,0,0,1,-0.5,0.5,0,Matt,0.0,527,False,,,40,113534.jpg,0.0,Macey,0.9,False,,a,1,3,0,59275,13459,25088,4500,0.0,0.0,Macey,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,367,33,351,12,300,10,372,33,,,,,,
