h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.41088,3.4984,1.41088,2.62648,"{'att': 265, 'def': 20}","{'att': 224, 'def': 23}",7,14,1,3,0.2518,l,2021-10-22 19:00:00,0,0,1,0,-1.2156
h,0.687551,2.66391,0.687551,2.66391,"{'att': 273, 'def': 12}","{'att': 158, 'def': 23}",3,4,1,4,0.153,l,2021-10-31 16:30:00,0,0,1,0,-1.976359
a,0.536077,0.89818,0.536077,0.89818,"{'att': 245, 'def': 23}","{'att': 131, 'def': 24}",13,8,0,1,0.9174,l,2021-11-05 20:00:00,0,0,1,0,-0.3621029999999999
h,1.06946,0.582787,1.06946,0.582787,"{'att': 392, 'def': 22}","{'att': 167, 'def': 22}",6,4,2,0,1.7925,w,2021-11-20 15:00:00,1,0,0,3,0.486673
a,0.454305,0.962129,0.454305,0.962129,"{'att': 342, 'def': 13}","{'att': 181, 'def': 20}",6,5,2,1,0.7950999999999999,w,2021-11-27 15:00:00,1,0,0,3,-0.507824
h,0.772083,1.01897,0.772083,1.01897,"{'att': 302, 'def': 20}","{'att': 192, 'def': 22}",4,9,1,2,1.1261,l,2021-12-01 20:15:00,0,0,1,0,-0.2468869999999999
h,1.84818,0.982614,1.84818,0.982614,"{'att': 270, 'def': 20}","{'att': 159, 'def': 39}",7,12,2,1,2.0334,w,2021-12-05 16:30:00,1,0,0,3,0.865566
a,0.140573,2.71181,0.140573,1.95064,"{'att': 272, 'def': 11}","{'att': 157, 'def': 30}",4,15,0,1,0.0507,l,2021-12-11 15:00:00,0,0,1,0,-1.810067
a,1.96261,0.502647,1.96261,0.502647,"{'att': 283, 'def': 20}","{'att': 193, 'def': 22}",14,5,2,0,2.5811,w,2021-12-14 19:45:00,1,0,0,3,1.459963
h,0.474029,2.8285,0.474029,1.30616,"{'att': 322, 'def': 14}","{'att': 277, 'def': 30}",6,14,1,3,0.0974,l,2021-12-26 17:30:00,0,0,1,0,-0.832131
a,1.13821,0.501329,1.13821,0.501329,"{'att': 220, 'def': 17}","{'att': 243, 'def': 30}",6,4,1,2,1.9134,l,2022-01-02 14:00:00,0,0,1,0,0.6368809999999999
h,1.82784,1.35378,1.82784,1.35378,"{'att': 273, 'def': 19}","{'att': 309, 'def': 29}",12,4,2,2,1.7497,d,2022-01-15 17:30:00,0,1,0,1,0.4740599999999999
a,0.860245,1.2384,0.860245,1.2384,"{'att': 156, 'def': 32}","{'att': 192, 'def': 29}",5,1,1,0,1.0054,w,2022-01-22 12:30:00,1,0,0,3,-0.3781549999999999
h,1.5013,2.52914,1.5013,2.52914,"{'att': 291, 'def': 21}","{'att': 148, 'def': 15}",2,8,3,3,0.6474,d,2022-02-09 20:00:00,0,1,0,1,-1.02784
a,0.455206,0.527571,0.455206,0.527571,"{'att': 103, 'def': 26}","{'att': 223, 'def': 33}",5,2,0,1,1.192,l,2022-02-13 14:00:00,0,0,1,0,-0.072365
