id,code,team_h,team_h_score,team_a,team_a_score,event,finished,minutes,provisional_start_time,kickoff_time,event_name,is_home,difficulty,player_id
251,2210521,1,,3,,26.0,False,0,False,2022-02-19T15:00:00Z,Gameweek 26,True,2,1
191,2210461,1,,20,,26.0,False,0,False,2022-02-24T19:45:00Z,Gameweek 26,True,3,1
279,2210549,18,,1,,28.0,False,0,False,2022-03-06T14:00:00Z,Gameweek 28,False,2,1
281,2210551,1,,9,,29.0,False,0,False,2022-03-13T16:30:00Z,Gameweek 29,True,3,1
261,2210531,1,,11,,29.0,False,0,False,2022-03-16T20:15:00Z,Gameweek 29,True,4,1
291,2210561,2,,1,,30.0,False,0,False,2022-03-19T12:30:00Z,Gameweek 30,False,3,1
304,2210574,7,,1,,31.0,False,0,False,2022-04-02T14:00:00Z,Gameweek 31,False,2,1
311,2210581,1,,4,,32.0,False,0,False,2022-04-09T14:00:00Z,Gameweek 32,True,3,1
326,2210596,16,,1,,33.0,False,0,False,2022-04-16T14:00:00Z,Gameweek 33,False,2,1
331,2210601,1,,13,,34.0,False,0,False,2022-04-23T14:00:00Z,Gameweek 34,True,3,1
349,2210619,19,,1,,35.0,False,0,False,2022-04-30T14:00:00Z,Gameweek 35,False,3,1
351,2210621,1,,10,,36.0,False,0,False,2022-05-07T14:00:00Z,Gameweek 36,True,2,1
365,2210635,14,,1,,37.0,False,0,False,2022-05-15T14:00:00Z,Gameweek 37,False,2,1
371,2210641,1,,8,,38.0,False,0,False,2022-05-22T15:00:00Z,Gameweek 38,True,2,1
218,2210488,17,,1,,,False,0,False,,,False,4,1
243,2210513,6,,1,,,False,0,False,,,False,5,1
251,2210521,1,,3,,26.0,False,0,False,2022-02-19T15:00:00Z,Gameweek 26,True,2,2
191,2210461,1,,20,,26.0,False,0,False,2022-02-24T19:45:00Z,Gameweek 26,True,3,2
279,2210549,18,,1,,28.0,False,0,False,2022-03-06T14:00:00Z,Gameweek 28,False,2,2
281,2210551,1,,9,,29.0,False,0,False,2022-03-13T16:30:00Z,Gameweek 29,True,3,2
261,2210531,1,,11,,29.0,False,0,False,2022-03-16T20:15:00Z,Gameweek 29,True,4,2
291,2210561,2,,1,,30.0,False,0,False,2022-03-19T12:30:00Z,Gameweek 30,False,3,2
304,2210574,7,,1,,31.0,False,0,False,2022-04-02T14:00:00Z,Gameweek 31,False,2,2
311,2210581,1,,4,,32.0,False,0,False,2022-04-09T14:00:00Z,Gameweek 32,True,3,2
326,2210596,16,,1,,33.0,False,0,False,2022-04-16T14:00:00Z,Gameweek 33,False,2,2
331,2210601,1,,13,,34.0,False,0,False,2022-04-23T14:00:00Z,Gameweek 34,True,3,2
349,2210619,19,,1,,35.0,False,0,False,2022-04-30T14:00:00Z,Gameweek 35,False,3,2
351,2210621,1,,10,,36.0,False,0,False,2022-05-07T14:00:00Z,Gameweek 36,True,2,2
365,2210635,14,,1,,37.0,False,0,False,2022-05-15T14:00:00Z,Gameweek 37,False,2,2
371,2210641,1,,8,,38.0,False,0,False,2022-05-22T15:00:00Z,Gameweek 38,True,2,2
218,2210488,17,,1,,,False,0,False,,,False,4,2
243,2210513,6,,1,,,False,0,False,,,False,5,2
251,2210521,1,,3,,26.0,False,0,False,2022-02-19T15:00:00Z,Gameweek 26,True,2,3
191,2210461,1,,20,,26.0,False,0,False,2022-02-24T19:45:00Z,Gameweek 26,True,3,3
279,2210549,18,,1,,28.0,False,0,False,2022-03-06T14:00:00Z,Gameweek 28,False,2,3
281,2210551,1,,9,,29.0,False,0,False,2022-03-13T16:30:00Z,Gameweek 29,True,3,3
261,2210531,1,,11,,29.0,False,0,False,2022-03-16T20:15:00Z,Gameweek 29,True,4,3
291,2210561,2,,1,,30.0,False,0,False,2022-03-19T12:30:00Z,Gameweek 30,False,3,3
304,2210574,7,,1,,31.0,False,0,False,2022-04-02T14:00:00Z,Gameweek 31,False,2,3
311,2210581,1,,4,,32.0,False,0,False,2022-04-09T14:00:00Z,Gameweek 32,True,3,3
326,2210596,16,,1,,33.0,False,0,False,2022-04-16T14:00:00Z,Gameweek 33,False,2,3
331,2210601,1,,13,,34.0,False,0,False,2022-04-23T14:00:00Z,Gameweek 34,True,3,3
349,2210619,19,,1,,35.0,False,0,False,2022-04-30T14:00:00Z,Gameweek 35,False,3,3
351,2210621,1,,10,,36.0,False,0,False,2022-05-07T14:00:00Z,Gameweek 36,True,2,3
365,2210635,14,,1,,37.0,False,0,False,2022-05-15T14:00:00Z,Gameweek 37,False,2,3
371,2210641,1,,8,,38.0,False,0,False,2022-05-22T15:00:00Z,Gameweek 38,True,2,3
218,2210488,17,,1,,,False,0,False,,,False,4,3
243,2210513,6,,1,,,False,0,False,,,False,5,3
251,2210521,1,,3,,26.0,False,0,False,2022-02-19T15:00:00Z,Gameweek 26,True,2,4
191,2210461,1,,20,,26.0,False,0,False,2022-02-24T19:45:00Z,Gameweek 26,True,3,4
