chance_of_playing_next_round,chance_of_playing_this_round,player_code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,player_type_id,ep_next,ep_this,event_points,first_name,form,player_id,in_dreamteam,news,news_added,now_cost,photo,PPG,second_name,selected_by_percent,status,team_id,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,total_minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,PP90,PPMM,VAPM,team_strength,team_short_name,strength_overall_home,strength_overall_away,position_name_short
0.0,0.0,434024,0,0,-1,1,0,1,0.0,0.0,0,Patrik,0.0,94,False,Transferred to Viking Fotballklubb,2022-01-31 15:30:11.481244,39,434024.jpg,0.0,Gunnarsson,1.4,u,3,94,0,158906,0,149046,3916,0.0,0.0,Gunnarsson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,504,47,488,22,448,10,508,47,,,,,,,,0.0,-0.5128205128205129,2,BRE,1060,1070,GKP
,,240796,0,0,0,0,0,1,-1.0,-0.5,0,Álvaro,0.0,556,False,,,45,240796.jpg,2.6,Fernández,0.7,a,3,94,31,161184,294,111223,4786,0.0,6.9,Fernández,1080,0,0,1,24,1,0,0,0,0,49,2,218,353.2,0.0,0.0,35.2,101,17,620,71,602,63,273,17,,,,,,,2.583333333333333,0.5777777777777778,0.1333333333333333,2,BRE,1060,1070,GKP
,,503300,0,0,0,0,0,1,-1.0,-0.5,0,Matthew,0.0,619,False,,,40,503300.jpg,0.0,Cox,0.1,a,3,94,0,141384,160,137279,248,0.0,0.0,Cox,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,557,67,544,45,506,33,561,67,,,,,,,,0.0,-0.5,2,BRE,1060,1070,GKP
,,57513,0,0,0,0,0,1,-0.7,-0.2,0,Jonas,0.3,673,False,,,45,57513.jpg,1.0,Lössl,0.0,a,3,94,2,913,49,488,87,0.1,0.4,Lössl,180,0,0,0,5,0,0,0,0,0,2,0,21,15.4,0.0,0.0,1.6,440,36,587,65,565,57,468,36,,,,,,,1.0,0.2222222222222222,-0.2222222222222222,2,BRE,1060,1070,GKP
100.0,100.0,49262,0,0,0,0,0,1,0.5,0.0,0,Jason,0.0,54,False,,2022-01-19 01:00:13.663777,40,49262.jpg,2.0,Steele,2.1,a,4,36,2,342408,540,370873,5704,0.0,0.5,Steele,90,0,0,0,2,0,0,0,0,0,3,0,17,28.8,0.0,0.0,2.9,420,33,498,27,458,15,448,33,,,,,,,2.0,0.5,0.0,3,BHA,1130,1130,GKP
0.0,0.0,131897,0,0,0,0,0,1,0.0,0.0,0,Mathew,0.0,65,False,Transferred to Real Sociedad,2021-07-12 23:00:04.491624,45,131897.jpg,0.0,Ryan,0.0,u,4,36,0,0,0,810,3,0.0,0.0,Ryan,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,598,78,593,68,573,60,600,78,,,,,,,,0.0,-0.4444444444444444,3,BHA,1130,1130,GKP
100.0,100.0,215059,0,0,1,-1,1,1,4.5,8.0,8,Robert,4.0,69,False,,2021-11-06 21:00:12.157769,46,215059.jpg,3.6,Sánchez,17.8,a,4,36,83,1425299,19343,1721242,33595,0.9,18.0,Sánchez,2070,0,0,7,23,0,0,0,2,1,66,8,439,543.0,30.0,0.0,57.2,14,6,346,2,643,65,181,5,,,,,,,3.608695652173913,0.782608695652174,0.3478260869565218,3,BHA,1130,1130,GKP
0.0,0.0,240514,0,0,0,0,0,1,0.0,0.0,0,Kjell,0.0,476,False,Joined Oostende on loan until the end of the season - Expected back 01 Jul,2022-02-01 00:00:16.327709,45,240514.jpg,0.0,Scherpen,0.0,u,4,36,0,4293,0,5484,81,0.0,0.0,Scherpen,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,624,80,619,70,601,62,626,80,,,,,,,,0.0,-0.4444444444444444,3,BHA,1130,1130,GKP
,,209288,0,0,0,0,0,1,0.5,0.0,0,Thomas,0.0,688,False,,,40,209288.jpg,0.0,McGill,0.0,a,4,36,0,364,76,119,33,0.0,0.0,McGill,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,518,55,505,33,465,21,522,55,,,,,,,,0.0,-0.5,3,BHA,1130,1130,GKP
100.0,100.0,98747,0,0,-1,1,1,1,10.9,4.7,3,Nick,6.2,112,False,,2021-12-30 23:30:12.606831,54,98747.jpg,3.8,Pope,3.0,a,5,90,72,155115,35329,250475,4903,1.1,13.3,Pope,1710,0,0,5,23,0,0,0,0,0,63,7,358,464.8,10.0,0.0,47.7,40,11,407,8,684,78,224,11,,,,,,,3.789473684210526,0.7037037037037036,0.3333333333333332,2,BUR,1060,1050,GKP
