player_id,fixture_id,opponent_team_id,total_points,home_game,kickoff_time,round,minutes_played,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,team_score,opponent_team_score,team_id,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,team_short_name,position_name_short,team_strength,full_name,opponent_team,opponent_team_strength,event_name,difficulty
38,22,8,10.0,False,2020-09-28 16:45:00,3.0,90.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,35.0,45.0,55.4,31.0,13.1,55.0,-2945.0,32594.0,1806.0,4751.0,3.0,0.0,2,4.0,6.0,,AVL,MID,3,John McGinn,FUL,2,,
40,22,8,3.0,False,2020-09-28 16:45:00,3.0,83.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,12.6,1.3,26.0,4.0,55.0,-10476.0,82853.0,6683.0,17159.0,3.0,0.0,2,,3.0,,AVL,MID,3,Mahmoud Ahmed Ibrahim Hassan,FUL,2,,
41,22,8,12.0,False,2020-09-28 16:45:00,3.0,90.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,31.0,61.4,0.2,34.0,9.6,50.0,33228.0,155915.0,44618.0,11390.0,3.0,0.0,2,,,,AVL,DEF,3,Tyrone Mings,FUL,2,,
42,22,8,5.0,False,2020-09-28 16:45:00,3.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,8.6,2.0,0.0,1.1,45.0,2569.0,65844.0,11484.0,8915.0,3.0,0.0,2,6.0,5.0,,AVL,DEF,3,Matt Targett,FUL,2,,
44,22,8,1.0,False,2020-09-28 16:45:00,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.2,0.3,0.0,0.8,45.0,-3991.0,33838.0,1765.0,5756.0,3.0,0.0,2,,,,AVL,MID,3,Marvelous Nakamba,FUL,2,,
45,22,8,0.0,False,2020-09-28 16:45:00,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,-1756.0,9412.0,665.0,2421.0,3.0,0.0,2,5.0,,2.0,AVL,MID,3,Anwar El Ghazi,FUL,2,,
46,22,8,6.0,False,2020-09-28 16:45:00,3.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,23.8,0.0,0.0,2.4,45.0,123297.0,178556.0,145702.0,22405.0,3.0,0.0,2,,,,AVL,DEF,3,Ezri Konsa Ngoyo,FUL,2,,
50,22,8,0.0,False,2020-09-28 16:45:00,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,-74542.0,1015076.0,136592.0,211134.0,3.0,0.0,2,,,,AVL,FWD,3,Keinan Davis,FUL,2,,
52,22,8,3.0,False,2020-09-28 16:45:00,3.0,86.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.2,0.5,0.0,0.4,50.0,-1041.0,25292.0,3375.0,4416.0,3.0,0.0,2,,4.0,,AVL,MID,3,Douglas Luiz Soares de Paulo,FUL,2,,
106,22,8,0.0,False,2020-09-28 16:45:00,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,-2661.0,19252.0,1476.0,2277.0,3.0,0.0,2,2.0,2.0,,AVL,MID,3,Ross Barkley,FUL,2,,
108,53,8,5.0,False,2020-10-24 14:00:00,6.0,90.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,35.4,11.0,60.0,10.6,58.0,5365.0,59327.0,9921.0,4556.0,2.0,1.0,6,,,,CRY,FWD,3,Michy Batshuayi,FUL,2,,
125,53,8,0.0,False,2020-10-24 14:00:00,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,925.0,6523.0,2162.0,1237.0,2.0,1.0,6,,,,CRY,DEF,3,Gary Cahill,FUL,2,,
127,53,8,1.0,False,2020-10-24 14:00:00,6.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.3,45.0,-576.0,22186.0,2330.0,2906.0,2.0,1.0,6,,,,CRY,DEF,3,Mamadou Sakho,FUL,2,,
128,53,8,1.0,False,2020-10-24 14:00:00,6.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,9.0,13.0,0.0,0.0,1.3,50.0,-7906.0,347005.0,17708.0,25614.0,2.0,1.0,6,,,,CRY,GKP,3,Vicente Guaita,FUL,2,,
130,53,8,0.0,False,2020-10-24 14:00:00,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,-877.0,11436.0,242.0,1119.0,2.0,1.0,6,,,,CRY,MID,3,James McArthur,FUL,2,,
131,53,8,0.0,False,2020-10-24 14:00:00,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,-31819.0,131542.0,471.0,32290.0,2.0,1.0,6,5.0,,,CRY,MID,3,James McCarthy,FUL,2,,
132,53,8,0.0,False,2020-10-24 14:00:00,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,302.0,15662.0,1776.0,1474.0,2.0,1.0,6,,,,CRY,FWD,3,Christian Benteke,FUL,2,,
133,53,8,2.0,False,2020-10-24 14:00:00,6.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,20.4,0.3,0.0,2.1,50.0,52.0,52322.0,7051.0,6999.0,2.0,1.0,6,,,,CRY,MID,3,Cheikhou Kouyaté,FUL,2,,
134,53,8,0.0,False,2020-10-24 14:00:00,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,-191.0,120457.0,8465.0,8656.0,2.0,1.0,6,,,,CRY,DEF,3,Joel Ward,FUL,2,,
137,53,8,2.0,False,2020-10-24 14:00:00,6.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,28.2,28.5,2.0,5.9,61.0,-20703.0,249458.0,20309.0,41012.0,2.0,1.0,6,3.0,3.0,,CRY,MID,3,Andros Townsend,FUL,2,,
138,53,8,2.0,False,2020-10-24 14:00:00,6.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.2,11.9,1.0,2.0,57.0,-2749.0,27329.0,472.0,3221.0,2.0,1.0,6,1.0,1.0,1.0,CRY,MID,3,Luka Milivojevic,FUL,2,,
139,53,8,1.0,False,2020-10-24 14:00:00,6.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.8,0.7,7.0,1.2,54.0,5198.0,15288.0,7556.0,2358.0,2.0,1.0,6,4.0,2.0,2.0,CRY,DEF,3,Patrick van Aanholt,FUL,2,,
140,53,8,0.0,False,2020-10-24 14:00:00,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,-68494.0,163256.0,1364.0,69858.0,2.0,1.0,6,,,4.0,CRY,FWD,3,Jordan Ayew,FUL,2,,
141,53,8,13.0,False,2020-10-24 14:00:00,6.0,90.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,43.0,66.4,47.3,109.0,22.3,72.0,133920.0,1541444.0,240498.0,106578.0,2.0,1.0,6,,,3.0,CRY,MID,3,Wilfried Zaha,FUL,2,,
142,53,8,3.0,False,2020-10-24 14:00:00,6.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,12.3,19.0,3.9,55.0,-112.0,6625.0,518.0,630.0,2.0,1.0,6,,,,CRY,MID,3,Jeffrey Schlupp,FUL,2,,
144,53,8,9.0,False,2020-10-24 14:00:00,6.0,84.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,43.4,13.3,17.0,7.4,44.0,10553.0,42013.0,15784.0,5231.0,2.0,1.0,6,,,,CRY,MID,3,Jairo Riedewald,FUL,2,,
146,53,8,2.0,False,2020-10-24 14:00:00,6.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,21.6,1.8,17.0,4.0,42.0,16161.0,1943442.0,87186.0,71025.0,2.0,1.0,6,,,,CRY,DEF,3,Tyrick Mitchell,FUL,2,,
193,13,8,0.0,True,2020-09-19 14:00:00,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,-8951.0,112167.0,11349.0,20300.0,4.0,3.0,10,4.0,2.0,,LEE,MID,3,Pablo Hernández Domínguez,FUL,2,,
