chance_of_playing_next_round,chance_of_playing_this_round,cost_change_event,cost_change_start,player_type_id,expected_points_next_gw,expected_points_this_gw,event_points,form,player_id,player_news,news_added,player_price,player_photo,points_per_game,selected_by_percent,status,team_id,team_code,total_points,total_transfers_in,transfers_in_event,total_transfers_out,transfers_out_event,value_form,value_season,web_name,total_minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,full_name,understat_id,games_played,xG,understat_assists,xA,shots,key_passes,npg,npxG,xGChain,xGBuildup,team_name,team_short_name,team_strength,position_name,position_name_short
,,0,2,2,2.3,1.8,6,2.3,46,,,4.7,199798.jpg,5.0,7.7,a,2,7,35,704812,25404,237412,20220,0.5,7.4,Konsa,630,1,0,4,9,0,0,0,0,0,0,3,142,137.4,1.5,79.0,21.8,71,21,358,134,93,17,133,40,,,,Ezri Konsa Ngoyo,7726,7,0.4946844577789306,0,0.0,4,0,1,0.4946844577789306,0.5481054559350014,0.5481054559350014,Aston Villa,AVL,3,Defender,DEF
,,0,0,2,2.0,1.5,6,2.0,496,,,5.0,199796.jpg,3.4,0.7,a,2,7,24,48255,4735,30250,2389,0.4,4.8,Cash,595,0,0,4,9,0,0,0,3,0,0,1,133,135.6,64.4,20.0,22.0,73,23,128,31,240,72,132,39,,,,Matthew Cash,8864,7,0.04971298202872276,0,0.2035039067268372,2,4,0,0.04971298202872276,1.6204239502549171,1.3926215693354609,Aston Villa,AVL,3,Defender,DEF
,,0,-1,2,2.7,3.2,6,2.7,61,,,4.4,78916.jpg,2.2,0.4,a,3,36,11,7030,571,32576,999,0.6,2.5,Burn,383,0,0,1,4,0,0,0,1,0,0,0,55,37.8,26.6,29.0,9.4,275,107,212,55,206,61,272,94,,,,Dan Burn,7382,5,0.13285495806485415,0,0.07520990818738937,4,1,0,0.13285495806485415,0.6353759411722422,0.5456672888249159,Brighton,BHA,3,Defender,DEF
100.0,0.0,0,-2,2,0.0,0.0,0,0.0,62,,2020-10-18 15:00:19.802843,4.8,83299.jpg,1.0,2.8,a,3,36,5,60815,1178,435695,7266,0.0,1.0,Dunk,450,0,0,1,11,1,0,0,1,1,0,1,62,59.2,17.3,38.0,11.5,221,91,264,79,183,47,242,83,,1.0,,Lewis Dunk,6048,5,0.6411619856953621,0,0.012112163938581944,4,1,0,0.6411619856953621,1.3754739500582218,1.3754739500582218,Brighton,BHA,3,Defender,DEF
,,0,-1,2,2.7,3.2,6,2.7,66,,,4.4,110735.jpg,2.2,1.8,a,3,36,18,46093,3202,107821,4998,0.6,4.1,Webster,720,0,0,2,14,0,0,0,1,0,0,0,110,95.2,38.0,99.0,23.2,156,63,175,42,70,8,119,31,,,,Adam Webster,7699,8,0.3857515435665846,0,0.069588802754879,7,2,0,0.3857515435665846,1.7864451874047518,1.7032324317842722,Brighton,BHA,3,Defender,DEF
,,0,-2,2,4.0,4.5,9,4.0,67,,,4.3,111478.jpg,3.0,0.3,a,3,36,12,17520,9790,20796,1966,0.9,2.8,Veltman,307,0,0,1,5,0,0,0,0,0,0,3,65,66.4,47.0,4.0,11.9,201,84,156,38,318,111,239,81,,,,Joël Veltman,8780,4,0.0,0,0.13665078580379486,0,3,0,0.0,0.6710092779248953,0.5343585070222616,Brighton,BHA,3,Defender,DEF
100.0,100.0,0,0,2,3.0,3.5,6,3.0,74,,2020-09-14 21:30:11.221083,4.5,198869.jpg,2.2,1.3,a,3,36,18,48602,1717,74387,3316,0.7,4.0,White,708,0,0,2,14,0,0,0,1,0,0,0,125,128.4,34.6,10.0,17.5,92,32,187,45,279,90,171,57,,,,Ben White,7298,8,0.04942066967487335,0,0.06316699832677841,1,1,0,0.04942066967487335,2.3345824386924505,2.285161754116416,Brighton,BHA,3,Defender,DEF
,,0,-1,2,0.3,0.8,0,0.3,75,,,3.9,209362.jpg,1.0,8.6,a,3,36,1,200736,35965,467734,21869,0.1,0.3,Bernardo,25,0,0,0,1,0,0,0,0,0,0,0,3,4.2,1.1,2.0,0.7,383,146,367,140,333,122,395,146,,,,Bernardo Fernandes da Silva Junior,5245,1,0.0,0,0.0,0,0,0,0.0,0.0,0.0,Brighton,BHA,3,Defender,DEF
100.0,75.0,1,3,2,5.3,4.3,6,5.3,77,,2020-11-01 22:30:17.480673,4.8,232792.jpg,3.6,12.7,a,3,36,29,1034854,90812,334986,14130,1.1,6.0,Lamptey,630,1,3,1,12,0,0,0,2,0,0,2,123,133.4,125.6,138.0,39.8,78,25,42,8,47,1,46,6,,,,Tariq Lamptey,8226,8,0.7030039094388485,1,0.5910012722015381,6,7,1,0.7030039094388485,3.556347645819187,2.760272175073624,Brighton,BHA,3,Defender,DEF
100.0,100.0,0,-1,2,2.5,2.5,6,3.0,81,,2020-09-17 22:00:10.017429,5.4,17761.jpg,3.0,2.5,a,4,90,15,31769,3914,249412,4789,0.6,2.8,Tarkowski,450,0,0,2,7,0,0,0,1,0,0,0,72,97.0,22.0,81.0,20.1,152,61,241,68,91,16,149,47,,,,James Tarkowski,1665,5,0.7855677865445614,0,0.16127709299325946,5,2,0,0.7855677865445614,0.1914277896285057,0.1914277896285057,Burnley,BUR,2,Defender,DEF
75.0,100.0,0,0,2,-0.4,-0.5,0,0.0,82,Knock - 75% chance of playing,2020-11-06 20:30:19.732678,4.5,17997.jpg,0.3,0.3,d,4,90,1,10460,27,32997,1370,0.0,0.2,Bardsley,270,0,0,0,8,0,0,0,2,0,0,0,24,31.4,12.9,6.0,5.1,296,117,286,92,309,106,333,117,,,,Phil Bardsley,857,3,0.06341451406478882,0,0.0,3,0,0,0.06341451406478882,0.1266939826309681,0.10160527005791664,Burnley,BUR,2,Defender,DEF
75.0,0.0,0,-2,2,-0.4,0.0,0,0.0,83,Calf injury - 75% chance of playing,2020-10-22 13:30:13.791092,4.3,39487.jpg,2.0,0.4,d,4,90,4,18273,34,80457,3287,0.0,0.9,Pieters,140,0,0,1,3,1,0,0,0,0,0,0,19,7.6,2.0,17.0,2.6,369,142,345,126,250,79,363,133,,,,Erik Pieters,887,2,0.06186991557478905,0,0.0,1,0,0,0.06186991557478905,0.0869586244225502,0.0869586244225502,Burnley,BUR,2,Defender,DEF
100.0,100.0,0,0,2,-0.2,-0.2,0,0.3,85,,2020-10-12 20:30:21.362818,4.5,41674.jpg,1.8,0.2,a,4,90,11,9108,253,11164,1227,0.1,2.4,Long,540,0,0,1,12,0,0,0,2,0,0,1,76,94.2,11.5,16.0,12.2,157,64,298,97,256,83,236,80,,,,Kevin Long,1747,6,0.09299547970294952,0,0.017368044704198837,1,1,0,0.09299547970294952,0.4264135546982288,0.4264135546982288,Burnley,BUR,2,Defender,DEF
100.0,75.0,0,-1,2,2.2,1.7,8,2.7,88,,2020-09-07 00:30:12.617922,4.9,51927.jpg,8.0,0.2,a,4,90,8,3016,2361,19382,491,0.6,1.6,Mee,90,0,0,1,0,0,0,0,0,0,0,2,29,33.8,0.1,4.0,3.8,290,114,388,150,328,119,351,125,,,,Ben Mee,1654,1,0.07444126158952713,0,0.0,1,0,0,0.07444126158952713,0.0,0.0,Burnley,BUR,2,Defender,DEF
100.0,100.0,0,-1,2,2.5,2.5,6,3.0,92,,2020-09-30 20:00:20.120303,4.4,68983.jpg,3.0,0.1,a,4,90,9,2656,871,7819,300,0.7,2.0,Lowton,270,0,0,1,4,0,0,0,0,0,0,0,53,43.8,21.8,1.0,6.7,252,101,242,69,349,129,306,108,,,,Matthew Lowton,1652,3,0.014498330652713776,0,0.3239760398864746,1,1,0,0.014498330652713776,0.4765646755695343,0.13809028267860413,Burnley,BUR,2,Defender,DEF
75.0,,0,0,2,2.4,3.2,8,3.7,97,Achilles injury - 75% chance of playing,2020-11-19 15:00:18.987975,4.5,103914.jpg,3.1,3.2,d,4,90,22,140441,7896,230377,9990,0.8,4.9,Taylor,630,0,1,2,12,0,0,0,1,0,0,2,122,119.6,66.8,11.0,19.7,106,37,124,29,271,88,152,48,,,,Charlie Taylor,6044,7,0.02890381403267384,0,0.2012158110737801,1,3,0,0.02890381403267384,1.2592469826340675,1.054679661989212,Burnley,BUR,2,Defender,DEF
,,0,0,2,-0.5,-0.5,0,0.0,519,,,4.0,218023.jpg,4.0,6.8,a,4,90,8,726562,15799,330988,26982,0.0,2.0,Dunne,180,1,0,0,5,0,0,0,0,0,0,0,35,66.2,21.2,38.0,12.6,202,85,244,70,182,46,229,76,,,,Jimmy Dunne,8481,2,0.22237548604607585,0,0.10200031474232674,3,2,1,0.22237548604607585,0.10443910025060177,0.043035658076405525,Burnley,BUR,2,Defender,DEF
,,-1,-2,2,2.5,2.5,0,2.0,102,,,5.8,41328.jpg,3.4,3.6,a,5,8,17,72078,2601,343657,24602,0.3,2.9,Azpilicueta,320,0,1,2,3,0,0,0,1,0,0,0,72,71.8,39.2,33.0,14.4,191,79,171,41,195,55,206,66,,,,César Azpilicueta,681,5,0.06197366490960121,1,0.03255231212824583,2,2,0,0.06197366490960121,1.0570411160588264,0.9828644320368768,Chelsea,CHE,4,Defender,DEF
,,-1,-3,2,0.5,0.5,0,0.0,104,,,5.7,82263.jpg,0.7,1.7,a,5,8,2,36567,1026,168671,6235,0.0,0.4,Alonso,225,0,0,0,6,0,0,0,1,0,0,0,36,37.0,28.1,20.0,8.5,280,110,206,52,241,73,285,100,,2.0,,Marcos Alonso,1621,3,0.07554475963115692,0,0.01940022269263864,2,2,0,0.07554475963115692,0.2955821752548218,0.2655065394937992,Chelsea,CHE,4,Defender,DEF
,,1,4,2,8.8,8.8,2,8.3,110,,,5.4,103192.jpg,6.9,17.1,a,5,8,48,1254701,185963,186313,40257,1.5,8.9,Zouma,630,3,0,3,7,0,0,0,0,0,0,6,174,231.8,15.7,95.0,34.3,14,1,269,82,74,10,61,9,,,,Kurt Zouma,935,7,0.5523312520235777,0,0.018804335966706283,6,1,3,0.5523312520235777,0.7835652502253652,0.7835652502253652,Chelsea,CHE,4,Defender,DEF
