fixture_id,round,kickoff_time,event_name,home_game,difficulty,player_id,opponent_team_id,team_id,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,team_short_name,position_name_short,team_strength,full_name,opponent_team,opponent_team_strength
182,19.0,2021-01-16 15:00:00,Gameweek 19,False,3,57,10,3,1.0,2.0,2.0,BHA,MID,3,Pascal Groß,LEE,3
329,34.0,2021-05-01 14:00:00,Gameweek 34,True,2,57,10,3,1.0,2.0,2.0,BHA,MID,3,Pascal Groß,LEE,3
182,19.0,2021-01-16 15:00:00,Gameweek 19,False,3,61,10,3,,,,BHA,DEF,3,Dan Burn,LEE,3
329,34.0,2021-05-01 14:00:00,Gameweek 34,True,2,61,10,3,,,,BHA,DEF,3,Dan Burn,LEE,3
182,19.0,2021-01-16 15:00:00,Gameweek 19,False,3,62,10,3,,1.0,,BHA,DEF,3,Lewis Dunk,LEE,3
329,34.0,2021-05-01 14:00:00,Gameweek 34,True,2,62,10,3,,1.0,,BHA,DEF,3,Lewis Dunk,LEE,3
182,19.0,2021-01-16 15:00:00,Gameweek 19,False,3,65,10,3,2.0,4.0,,BHA,MID,3,Solomon March,LEE,3
329,34.0,2021-05-01 14:00:00,Gameweek 34,True,2,65,10,3,2.0,4.0,,BHA,MID,3,Solomon March,LEE,3
182,19.0,2021-01-16 15:00:00,Gameweek 19,False,3,66,10,3,,,,BHA,DEF,3,Adam Webster,LEE,3
329,34.0,2021-05-01 14:00:00,Gameweek 34,True,2,66,10,3,,,,BHA,DEF,3,Adam Webster,LEE,3
182,19.0,2021-01-16 15:00:00,Gameweek 19,False,3,67,10,3,,,,BHA,DEF,3,Joël Veltman,LEE,3
329,34.0,2021-05-01 14:00:00,Gameweek 34,True,2,67,10,3,,,,BHA,DEF,3,Joël Veltman,LEE,3
182,19.0,2021-01-16 15:00:00,Gameweek 19,False,3,68,10,3,,,1.0,BHA,FWD,3,Neal Maupay,LEE,3
329,34.0,2021-05-01 14:00:00,Gameweek 34,True,2,68,10,3,,,1.0,BHA,FWD,3,Neal Maupay,LEE,3
182,19.0,2021-01-16 15:00:00,Gameweek 19,False,3,69,10,3,3.0,,,BHA,MID,3,Leandro Trossard,LEE,3
329,34.0,2021-05-01 14:00:00,Gameweek 34,True,2,69,10,3,3.0,,,BHA,MID,3,Leandro Trossard,LEE,3
182,19.0,2021-01-16 15:00:00,Gameweek 19,False,3,70,10,3,,,,BHA,GKP,3,Mathew Ryan,LEE,3
329,34.0,2021-05-01 14:00:00,Gameweek 34,True,2,70,10,3,,,,BHA,GKP,3,Mathew Ryan,LEE,3
182,19.0,2021-01-16 15:00:00,Gameweek 19,False,3,71,10,3,,,,BHA,MID,3,Alireza Jahanbakhsh,LEE,3
329,34.0,2021-05-01 14:00:00,Gameweek 34,True,2,71,10,3,,,,BHA,MID,3,Alireza Jahanbakhsh,LEE,3
182,19.0,2021-01-16 15:00:00,Gameweek 19,False,3,74,10,3,,,,BHA,DEF,3,Ben White,LEE,3
329,34.0,2021-05-01 14:00:00,Gameweek 34,True,2,74,10,3,,,,BHA,DEF,3,Ben White,LEE,3
182,19.0,2021-01-16 15:00:00,Gameweek 19,False,3,75,10,3,,,,BHA,DEF,3,Bernardo Fernandes da Silva Junior,LEE,3
329,34.0,2021-05-01 14:00:00,Gameweek 34,True,2,75,10,3,,,,BHA,DEF,3,Bernardo Fernandes da Silva Junior,LEE,3
182,19.0,2021-01-16 15:00:00,Gameweek 19,False,3,76,10,3,,5.0,,BHA,MID,3,Yves Bissouma,LEE,3
329,34.0,2021-05-01 14:00:00,Gameweek 34,True,2,76,10,3,,5.0,,BHA,MID,3,Yves Bissouma,LEE,3
182,19.0,2021-01-16 15:00:00,Gameweek 19,False,3,77,10,3,,,,BHA,DEF,3,Tariq Lamptey,LEE,3
329,34.0,2021-05-01 14:00:00,Gameweek 34,True,2,77,10,3,,,,BHA,DEF,3,Tariq Lamptey,LEE,3
182,19.0,2021-01-16 15:00:00,Gameweek 19,False,3,78,10,3,,,,BHA,FWD,3,Aaron Connolly,LEE,3
329,34.0,2021-05-01 14:00:00,Gameweek 34,True,2,78,10,3,,,,BHA,FWD,3,Aaron Connolly,LEE,3
182,19.0,2021-01-16 15:00:00,Gameweek 19,False,3,79,10,3,,,,BHA,MID,3,Steven Alzate,LEE,3
329,34.0,2021-05-01 14:00:00,Gameweek 34,True,2,79,10,3,,,,BHA,MID,3,Steven Alzate,LEE,3
182,19.0,2021-01-16 15:00:00,Gameweek 19,False,3,80,10,3,4.0,3.0,,BHA,MID,3,Alexis Mac Allister,LEE,3
329,34.0,2021-05-01 14:00:00,Gameweek 34,True,2,80,10,3,4.0,3.0,,BHA,MID,3,Alexis Mac Allister,LEE,3
142,15.0,2020-12-26 15:00:00,Gameweek 15,False,3,81,10,4,,,,BUR,DEF,2,James Tarkowski,LEE,3
350,36.0,2021-05-11 18:45:00,Gameweek 36,True,2,81,10,4,,,,BUR,DEF,2,James Tarkowski,LEE,3
142,15.0,2020-12-26 15:00:00,Gameweek 15,False,3,82,10,4,,,,BUR,DEF,2,Phil Bardsley,LEE,3
350,36.0,2021-05-11 18:45:00,Gameweek 36,True,2,82,10,4,,,,BUR,DEF,2,Phil Bardsley,LEE,3
142,15.0,2020-12-26 15:00:00,Gameweek 15,False,3,83,10,4,,,,BUR,DEF,2,Erik Pieters,LEE,3
350,36.0,2021-05-11 18:45:00,Gameweek 36,True,2,83,10,4,,,,BUR,DEF,2,Erik Pieters,LEE,3
142,15.0,2020-12-26 15:00:00,Gameweek 15,False,3,85,10,4,,,,BUR,DEF,2,Kevin Long,LEE,3
350,36.0,2021-05-11 18:45:00,Gameweek 36,True,2,85,10,4,,,,BUR,DEF,2,Kevin Long,LEE,3
142,15.0,2020-12-26 15:00:00,Gameweek 15,False,3,86,10,4,,,3.0,BUR,FWD,2,Jay Rodriguez,LEE,3
350,36.0,2021-05-11 18:45:00,Gameweek 36,True,2,86,10,4,,,3.0,BUR,FWD,2,Jay Rodriguez,LEE,3
142,15.0,2020-12-26 15:00:00,Gameweek 15,False,3,87,10,4,,,1.0,BUR,FWD,2,Ashley Barnes,LEE,3
350,36.0,2021-05-11 18:45:00,Gameweek 36,True,2,87,10,4,,,1.0,BUR,FWD,2,Ashley Barnes,LEE,3
