id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
833,Virgil van Dijk,5,370,1,0.5533826053142548,0,0,4,0,1,0,D,Liverpool,1,0.5533826053142548,1.4130011945962906,1.2918415814638138
842,Oriol Romeu,8,687,1,0.21405843645334244,0,0.23606001958251,7,6,3,0,M,Southampton,1,0.21405843645334244,2.3142571970820427,2.081017427146435
964,Kyle Bartley,4,360,1,0.5151028633117676,0,0,1,0,0,0,D,West Bromwich Albion,1,0.5151028633117676,0.20601963251829147,0.20601963251829147
1234,Dennis Praet,6,426,1,0.29332757741212845,1,0.7270690724253654,5,4,0,0,M,Leicester,1,0.29332757741212845,1.233782047405839,0.9627146292477846
1687,Harry Maguire,7,630,1,0.43162486143410206,0,0.08616532199084759,11,2,2,0,D,Manchester United,1,0.43162486143410206,2.244679629802704,2.171362027525902
1688,Andrew Robertson,7,630,1,0.9382260162383318,2,1.303898774087429,6,10,0,0,D,Liverpool,1,0.9382260162383318,3.6451978385448456,1.9990619495511055
1746,Jeff Hendrick,8,679,1,0.3619119096547365,1,0.7870321273803711,7,1,0,0,M,Newcastle United,1,0.3619119096547365,1.914191860705614,0.8261509500443935
2251,Gareth Bale,2,32,1,0.7272437810897827,0,0.6383098363876343,4,2,0,0,S,Tottenham,1,0.7272437810897827,0.6265394687652588,0.2929183840751648
2381,Rodrigo,6,320,1,1.2216201201081276,0,0.38075245916843414,13,6,0,0,M S,Leeds,1,1.2216201201081276,1.949715219438076,1.2517203222960234
3288,Thiago Silva,5,435,1,0.601676344871521,0,0.059103842824697495,2,1,0,0,D,Chelsea,1,0.601676344871521,1.5688917879015207,1.5688917879015207
3293,Lucas Moura,6,344,1,0.8460060954093933,0,0.15011977776885033,5,2,0,0,F M S,Tottenham,1,0.8460060954093933,1.8234848119318485,0.8540714979171753
3294,Edinson Cavani,3,50,1,0.5843555927276611,0,0,3,0,0,0,S,Manchester United,1,0.5843555927276611,0.5421853959560394,0
3491,Romain Saiss,6,519,1,0.4559383224695921,0,0.3386978209018707,4,1,0,0,D M,Wolverhampton Wanderers,1,0.4559383224695921,1.0354093611240387,0.40667929500341415
3600,Serge Aurier,2,180,1,0.4603444039821625,1,0.7415898442268372,3,2,0,0,D,Tottenham,1,0.4603444039821625,1.4063169360160828,0.46185387670993805
4456,Chris Wood,7,625,1,1.8960303775966167,0,0.04523156210780144,13,1,0,0,F,Burnley,1,1.8960303775966167,2.2107824236154556,0.26952046528458595
5220,Kai Havertz,7,561,1,0.7148860339075327,1,0.5479235798120499,6,8,1,0,F M,Chelsea,1,0.7148860339075327,2.9648445770144463,1.9490444734692574
5543,Gabriel Jesus,1,90,1,0.23593679070472717,0,0.24416884779930115,3,1,1,0,F,Manchester City,1,0.23593679070472717,1.0407638549804688,0.5606581568717957
5556,Ademola Lookman,5,383,1,1.4351495951414108,0,0.37809162959456444,14,9,1,0,F M S,Fulham,1,0.6739807277917862,2.871470272541046,1.9752995818853378
5584,Aaron Wan-Bissaka,6,540,1,0.13602694869041443,0,0.04714088514447212,2,2,0,0,D,Manchester United,1,0.13602694869041443,0.6578611247241497,0.47469327971339226
5609,Yves Bissouma,7,630,1,0.4054624494165182,0,0.018893089145421982,14,1,2,1,M,Brighton,1,0.4054624494165182,1.8893773946911097,1.6690657623112202
