fixture_id,fixture_code,home_team_id,team_h_score,away_team_id,team_a_score,event,finished,minutes,provisional_start_time,kickoff_time,event_name,is_home,difficulty,player_id,opponent_team_id,team_id
339,2128626,1,,18,,35,False,0,False,2021-05-09 18:00:00,Gameweek 35,True,2,14,18,1
354,2128641,5,,1,,35,False,0,False,2021-05-12 19:15:00,Gameweek 35,False,4,14,5,1
362,2128649,6,,1,,37,False,0,False,2021-05-19 18:00:00,Gameweek 37,False,3,14,6,1
369,2128656,1,,3,,38,False,0,False,2021-05-23 15:00:00,Gameweek 38,True,3,14,3,1
339,2128626,1,,18,,35,False,0,False,2021-05-09 18:00:00,Gameweek 35,False,4,15,1,18
353,2128640,18,,11,,36,False,0,False,2021-05-16 15:30:00,Gameweek 36,True,4,15,11,18
368,2128655,18,,19,,37,False,0,False,2021-05-19 19:15:00,Gameweek 37,True,4,15,19,18
372,2128659,10,,18,,38,False,0,False,2021-05-23 15:00:00,Gameweek 38,False,3,15,10,18
339,2128626,1,,18,,35,False,0,False,2021-05-09 18:00:00,Gameweek 35,True,2,16,18,1
354,2128641,5,,1,,35,False,0,False,2021-05-12 19:15:00,Gameweek 35,False,4,16,5,1
362,2128649,6,,1,,37,False,0,False,2021-05-19 18:00:00,Gameweek 37,False,3,16,6,1
369,2128656,1,,3,,38,False,0,False,2021-05-23 15:00:00,Gameweek 38,True,3,16,3,1
339,2128626,1,,18,,35,False,0,False,2021-05-09 18:00:00,Gameweek 35,True,2,17,18,1
354,2128641,5,,1,,35,False,0,False,2021-05-12 19:15:00,Gameweek 35,False,4,17,5,1
362,2128649,6,,1,,37,False,0,False,2021-05-19 18:00:00,Gameweek 37,False,3,17,6,1
369,2128656,1,,3,,38,False,0,False,2021-05-23 15:00:00,Gameweek 38,True,3,17,3,1
339,2128626,1,,18,,35,False,0,False,2021-05-09 18:00:00,Gameweek 35,True,2,18,18,1
354,2128641,5,,1,,35,False,0,False,2021-05-12 19:15:00,Gameweek 35,False,4,18,5,1
362,2128649,6,,1,,37,False,0,False,2021-05-19 18:00:00,Gameweek 37,False,3,18,6,1
369,2128656,1,,3,,38,False,0,False,2021-05-23 15:00:00,Gameweek 38,True,3,18,3,1
339,2128626,1,,18,,35,False,0,False,2021-05-09 18:00:00,Gameweek 35,True,2,19,18,1
354,2128641,5,,1,,35,False,0,False,2021-05-12 19:15:00,Gameweek 35,False,4,19,5,1
362,2128649,6,,1,,37,False,0,False,2021-05-19 18:00:00,Gameweek 37,False,3,19,6,1
369,2128656,1,,3,,38,False,0,False,2021-05-23 15:00:00,Gameweek 38,True,3,19,3,1
343,2128630,9,,14,,35,False,0,False,2021-05-07 19:00:00,Gameweek 35,False,4,20,9,14
356,2128643,14,,12,,36,False,0,False,2021-05-14 19:00:00,Gameweek 36,True,4,20,12,14
365,2128652,14,,15,,37,False,0,False,2021-05-19 17:00:00,Gameweek 37,True,2,20,15,14
371,2128658,8,,14,,38,False,0,False,2021-05-23 15:00:00,Gameweek 38,False,2,20,8,14
339,2128626,1,,18,,35,False,0,False,2021-05-09 18:00:00,Gameweek 35,True,2,21,18,1
354,2128641,5,,1,,35,False,0,False,2021-05-12 19:15:00,Gameweek 35,False,4,21,5,1
362,2128649,6,,1,,37,False,0,False,2021-05-19 18:00:00,Gameweek 37,False,3,21,6,1
369,2128656,1,,3,,38,False,0,False,2021-05-23 15:00:00,Gameweek 38,True,3,21,3,1
339,2128626,1,,18,,35,False,0,False,2021-05-09 18:00:00,Gameweek 35,True,2,22,18,1
354,2128641,5,,1,,35,False,0,False,2021-05-12 19:15:00,Gameweek 35,False,4,22,5,1
362,2128649,6,,1,,37,False,0,False,2021-05-19 18:00:00,Gameweek 37,False,3,22,6,1
369,2128656,1,,3,,38,False,0,False,2021-05-23 15:00:00,Gameweek 38,True,3,22,3,1
339,2128626,1,,18,,35,False,0,False,2021-05-09 18:00:00,Gameweek 35,True,2,23,18,1
354,2128641,5,,1,,35,False,0,False,2021-05-12 19:15:00,Gameweek 35,False,4,23,5,1
362,2128649,6,,1,,37,False,0,False,2021-05-19 18:00:00,Gameweek 37,False,3,23,6,1
369,2128656,1,,3,,38,False,0,False,2021-05-23 15:00:00,Gameweek 38,True,3,23,3,1
339,2128626,1,,18,,35,False,0,False,2021-05-09 18:00:00,Gameweek 35,True,2,24,18,1
354,2128641,5,,1,,35,False,0,False,2021-05-12 19:15:00,Gameweek 35,False,4,24,5,1
362,2128649,6,,1,,37,False,0,False,2021-05-19 18:00:00,Gameweek 37,False,3,24,6,1
369,2128656,1,,3,,38,False,0,False,2021-05-23 15:00:00,Gameweek 38,True,3,24,3,1
339,2128626,1,,18,,35,False,0,False,2021-05-09 18:00:00,Gameweek 35,True,2,25,18,1
354,2128641,5,,1,,35,False,0,False,2021-05-12 19:15:00,Gameweek 35,False,4,25,5,1
362,2128649,6,,1,,37,False,0,False,2021-05-19 18:00:00,Gameweek 37,False,3,25,6,1
369,2128656,1,,3,,38,False,0,False,2021-05-23 15:00:00,Gameweek 38,True,3,25,3,1
339,2128626,1,,18,,35,False,0,False,2021-05-09 18:00:00,Gameweek 35,True,2,26,18,1
354,2128641,5,,1,,35,False,0,False,2021-05-12 19:15:00,Gameweek 35,False,4,26,5,1
362,2128649,6,,1,,37,False,0,False,2021-05-19 18:00:00,Gameweek 37,False,3,26,6,1
369,2128656,1,,3,,38,False,0,False,2021-05-23 15:00:00,Gameweek 38,True,3,26,3,1
339,2128626,1,,18,,35,False,0,False,2021-05-09 18:00:00,Gameweek 35,True,2,27,18,1
354,2128641,5,,1,,35,False,0,False,2021-05-12 19:15:00,Gameweek 35,False,4,27,5,1
362,2128649,6,,1,,37,False,0,False,2021-05-19 18:00:00,Gameweek 37,False,3,27,6,1
369,2128656,1,,3,,38,False,0,False,2021-05-23 15:00:00,Gameweek 38,True,3,27,3,1
340,2128627,2,,13,,35,False,0,False,2021-05-09 13:05:00,Gameweek 35,True,4,28,13,2
180,2128467,2,,7,,35,False,0,False,2021-05-13 17:00:00,Gameweek 35,True,4,28,7,2
355,2128642,6,,2,,36,False,0,False,2021-05-16 11:00:00,Gameweek 36,False,3,28,6,2
367,2128654,17,,2,,37,False,0,False,2021-05-19 17:00:00,Gameweek 37,False,4,28,17,2
370,2128657,2,,5,,38,False,0,False,2021-05-23 15:00:00,Gameweek 38,True,4,28,5,2
340,2128627,2,,13,,35,False,0,False,2021-05-09 13:05:00,Gameweek 35,True,4,29,13,2
180,2128467,2,,7,,35,False,0,False,2021-05-13 17:00:00,Gameweek 35,True,4,29,7,2
355,2128642,6,,2,,36,False,0,False,2021-05-16 11:00:00,Gameweek 36,False,3,29,6,2
367,2128654,17,,2,,37,False,0,False,2021-05-19 17:00:00,Gameweek 37,False,4,29,17,2
370,2128657,2,,5,,38,False,0,False,2021-05-23 15:00:00,Gameweek 38,True,4,29,5,2
340,2128627,2,,13,,35,False,0,False,2021-05-09 13:05:00,Gameweek 35,True,4,30,13,2
180,2128467,2,,7,,35,False,0,False,2021-05-13 17:00:00,Gameweek 35,True,4,30,7,2
355,2128642,6,,2,,36,False,0,False,2021-05-16 11:00:00,Gameweek 36,False,3,30,6,2
367,2128654,17,,2,,37,False,0,False,2021-05-19 17:00:00,Gameweek 37,False,4,30,17,2
370,2128657,2,,5,,38,False,0,False,2021-05-23 15:00:00,Gameweek 38,True,4,30,5,2
340,2128627,2,,13,,35,False,0,False,2021-05-09 13:05:00,Gameweek 35,True,4,31,13,2
180,2128467,2,,7,,35,False,0,False,2021-05-13 17:00:00,Gameweek 35,True,4,31,7,2
355,2128642,6,,2,,36,False,0,False,2021-05-16 11:00:00,Gameweek 36,False,3,31,6,2
367,2128654,17,,2,,37,False,0,False,2021-05-19 17:00:00,Gameweek 37,False,4,31,17,2
370,2128657,2,,5,,38,False,0,False,2021-05-23 15:00:00,Gameweek 38,True,4,31,5,2
340,2128627,2,,13,,35,False,0,False,2021-05-09 13:05:00,Gameweek 35,True,4,32,13,2
180,2128467,2,,7,,35,False,0,False,2021-05-13 17:00:00,Gameweek 35,True,4,32,7,2
355,2128642,6,,2,,36,False,0,False,2021-05-16 11:00:00,Gameweek 36,False,3,32,6,2
367,2128654,17,,2,,37,False,0,False,2021-05-19 17:00:00,Gameweek 37,False,4,32,17,2
370,2128657,2,,5,,38,False,0,False,2021-05-23 15:00:00,Gameweek 38,True,4,32,5,2
340,2128627,2,,13,,35,False,0,False,2021-05-09 13:05:00,Gameweek 35,True,4,33,13,2
180,2128467,2,,7,,35,False,0,False,2021-05-13 17:00:00,Gameweek 35,True,4,33,7,2
355,2128642,6,,2,,36,False,0,False,2021-05-16 11:00:00,Gameweek 36,False,3,33,6,2
367,2128654,17,,2,,37,False,0,False,2021-05-19 17:00:00,Gameweek 37,False,4,33,17,2
370,2128657,2,,5,,38,False,0,False,2021-05-23 15:00:00,Gameweek 38,True,4,33,5,2
340,2128627,2,,13,,35,False,0,False,2021-05-09 13:05:00,Gameweek 35,True,4,34,13,2
180,2128467,2,,7,,35,False,0,False,2021-05-13 17:00:00,Gameweek 35,True,4,34,7,2
355,2128642,6,,2,,36,False,0,False,2021-05-16 11:00:00,Gameweek 36,False,3,34,6,2
367,2128654,17,,2,,37,False,0,False,2021-05-19 17:00:00,Gameweek 37,False,4,34,17,2
370,2128657,2,,5,,38,False,0,False,2021-05-23 15:00:00,Gameweek 38,True,4,34,5,2
340,2128627,2,,13,,35,False,0,False,2021-05-09 13:05:00,Gameweek 35,True,4,35,13,2
180,2128467,2,,7,,35,False,0,False,2021-05-13 17:00:00,Gameweek 35,True,4,35,7,2
355,2128642,6,,2,,36,False,0,False,2021-05-16 11:00:00,Gameweek 36,False,3,35,6,2
367,2128654,17,,2,,37,False,0,False,2021-05-19 17:00:00,Gameweek 37,False,4,35,17,2
370,2128657,2,,5,,38,False,0,False,2021-05-23 15:00:00,Gameweek 38,True,4,35,5,2
340,2128627,2,,13,,35,False,0,False,2021-05-09 13:05:00,Gameweek 35,True,4,36,13,2
180,2128467,2,,7,,35,False,0,False,2021-05-13 17:00:00,Gameweek 35,True,4,36,7,2
355,2128642,6,,2,,36,False,0,False,2021-05-16 11:00:00,Gameweek 36,False,3,36,6,2
367,2128654,17,,2,,37,False,0,False,2021-05-19 17:00:00,Gameweek 37,False,4,36,17,2
370,2128657,2,,5,,38,False,0,False,2021-05-23 15:00:00,Gameweek 38,True,4,36,5,2
340,2128627,2,,13,,35,False,0,False,2021-05-09 13:05:00,Gameweek 35,True,4,37,13,2
180,2128467,2,,7,,35,False,0,False,2021-05-13 17:00:00,Gameweek 35,True,4,37,7,2
355,2128642,6,,2,,36,False,0,False,2021-05-16 11:00:00,Gameweek 36,False,3,37,6,2
367,2128654,17,,2,,37,False,0,False,2021-05-19 17:00:00,Gameweek 37,False,4,37,17,2
370,2128657,2,,5,,38,False,0,False,2021-05-23 15:00:00,Gameweek 38,True,4,37,5,2
340,2128627,2,,13,,35,False,0,False,2021-05-09 13:05:00,Gameweek 35,True,4,38,13,2
180,2128467,2,,7,,35,False,0,False,2021-05-13 17:00:00,Gameweek 35,True,4,38,7,2
355,2128642,6,,2,,36,False,0,False,2021-05-16 11:00:00,Gameweek 36,False,3,38,6,2
367,2128654,17,,2,,37,False,0,False,2021-05-19 17:00:00,Gameweek 37,False,4,38,17,2
