chance_of_playing_next_round,chance_of_playing_this_round,player_code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,player_type_id,ep_next,ep_this,event_points,form,player_id,in_dreamteam,news,news_added,now_cost,photo,PPG,selected_by_percent,status,team_id,team_code,total_points,transfers_in_event,transfers_out_event,value_form,value_season,web_name,total_minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,PP90,PPMM,VAPM
0.0,0.0,213345,0,0,0,0,0,4,0.0,0.0,0,0.0,48,False,Knee injury - Unknown return date,2020-08-15 10:00:11.458856,60,213345.jpg,0.0,0.0,i,2,7,0,22,31,0.0,0.0,Wesley,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,583,69,584,71,585,72,586,72,,,,,1.0,,,0.0,-0.3333333333333333
0.0,0.0,217487,0,0,-1,1,0,4,0.0,0.0,0,0.0,49,False,Joined Fenerbahce on a permanent deal on 25/9,2020-09-25 09:00:10.072147,59,217487.jpg,0.0,0.0,u,2,7,0,8,83,0.0,0.0,Samatta,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,580,67,580,69,581,70,583,70,,,,,,,,0.0,-0.3389830508474576
100.0,75.0,221239,0,0,-1,1,0,4,0.0,0.0,0,0.0,50,False,,2020-10-18 17:30:11.727273,44,221239.jpg,1.0,9.3,a,2,7,1,5770,26509,0.0,0.2,Davis,28,0,0,0,0,0,0,0,0,0,0,0,3,4.4,12.9,6.0,2.3,354,37,249,33,279,44,343,43,,,,,,,3.214285714285714,0.22727272727272727,-0.22727272727272727
0.0,0.0,223349,0,0,-1,1,0,4,0.0,0.0,0,0.0,51,False,Joined Burton Albion on loan until the end of the season on 17/9. - Expected back 01 Jul,2020-09-17 16:30:17.739025,44,223349.jpg,0.0,0.9,n,2,7,0,786,2396,0.0,0.0,Vassilev,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,466,48,448,51,418,52,471,53,,,,,,,,0.0,-0.45454545454545453
,,230046,0,0,0,0,0,3,2.0,2.0,2,2.0,52,False,,,50,230046.jpg,2.2,0.3,a,2,7,11,360,570,0.4,2.2,Douglas Luiz,435,0,0,3,5,0,0,0,2,0,0,0,40,57.4,34.7,35.0,12.8,180,72,149,91,161,86,168,85,,,4.0,,,,2.2758620689655173,0.44000000000000006,0.040000000000000036
,,88894,0,0,0,0,1,3,5.0,5.0,2,5.0,106,False,,,60,88894.jpg,4.4,4.2,a,2,7,22,18797,9023,0.8,3.7,Barkley,310,2,0,1,5,0,0,0,0,0,0,3,73,104.0,78.4,111.0,29.4,80,28,61,45,44,23,55,30,4.0,,,,,,6.387096774193548,0.7333333333333334,0.4000000000000001
,,199796,0,0,0,0,0,2,3.5,3.5,1,3.5,496,False,,,50,199796.jpg,3.8,0.7,a,2,7,19,1671,1191,0.7,3.8,Cash,439,0,0,3,5,0,0,0,2,0,0,1,103,108.8,61.3,20.0,19.0,73,23,93,20,207,61,104,28,,,,,,,3.8952164009111616,0.76,0.36
,,178301,0,0,0,0,1,4,6.2,6.2,2,6.2,514,False,,,60,178301.jpg,5.4,4.9,a,2,7,27,9450,28344,1.0,4.5,Watkins,450,3,1,3,5,0,0,0,0,0,0,2,87,144.8,93.9,200.0,43.8,34,9,47,3,19,13,18,9,,,,,,,5.3999999999999995,0.9,0.5666666666666668
100.0,100.0,110504,-1,1,-1,1,0,3,1.0,1.0,1,1.0,540,False,,2020-09-25 19:30:12.467719,59,110504.jpg,1.0,0.0,a,2,7,4,102,200,0.2,0.7,Traoré,42,0,0,0,2,0,0,0,0,0,0,0,11,5.8,2.6,47.0,5.6,351,161,310,159,119,66,287,130,,,,,,,8.571428571428571,0.1694915254237288,-0.1694915254237288
,,232653,0,0,0,0,0,3,0.2,0.2,0,0.2,554,False,,,45,232653.jpg,1.0,0.1,a,2,7,1,357,240,0.0,0.2,Ramsey,13,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,501,195,489,195,465,183,506,195,,,,,,,6.923076923076923,0.2222222222222222,-0.2222222222222222
0.0,0.0,20529,0,0,-1,1,0,4,0.0,0.0,0,0.0,53,False,Joined Watford on loan until the end of the season on 1/9. - Expected back 01 Jul,2020-09-02 09:00:10.449975,49,20529.jpg,0.0,0.1,n,3,36,0,33,275,0.0,0.0,Murray,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,527,54,517,56,503,58,531,58,,,,,,,,0.0,-0.4081632653061224
100.0,100.0,39155,0,0,-2,2,0,3,1.5,2.5,3,2.0,54,False,,2020-09-14 21:30:11.145732,63,39155.jpg,1.7,0.5,a,3,36,10,296,755,0.3,1.6,Lallana,290,0,0,1,5,0,0,0,0,0,0,0,39,18.0,49.1,11.0,7.7,298,124,119,74,242,123,255,117,5.0,,,,,,3.103448275862069,0.2698412698412698,-0.04761904761904763
,,60307,0,0,-2,2,0,3,0.5,1.5,1,1.0,57,False,,,58,60307.jpg,1.0,0.1,a,3,36,5,32,128,0.2,0.9,Groß,72,0,0,0,2,0,0,0,0,0,0,0,23,11.6,33.0,10.0,5.5,320,140,156,96,249,128,290,133,1.0,,2.0,,2.0,,6.25,0.1724137931034483,-0.1724137931034483
0.0,0.0,61933,0,0,-1,1,0,2,0.0,0.0,0,0.0,58,False,Joined Celtic on loan until the end of the season on 2/9. - Expected back 01 Jul,2020-09-02 09:00:10.465117,44,61933.jpg,0.0,0.0,n,3,36,0,8,68,0.0,0.0,Duffy,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,442,172,423,171,391,154,447,172,,,,,,,,0.0,-0.45454545454545453
100.0,100.0,66242,0,0,-1,1,0,3,-0.5,0.5,0,0.0,59,False,,2020-09-30 11:30:16.728611,49,66242.jpg,0.0,0.0,a,3,36,0,27,46,0.0,0.0,Pröpper,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,535,212,525,212,512,207,539,212,,,,,,,,0.0,-0.4081632653061224
0.0,0.0,74471,0,0,0,0,0,3,0.0,0.0,0,0.0,60,False,Joined Shanghai SIPG on a permanent deal on 28/8,2020-08-29 10:00:06.731343,50,74471.jpg,0.0,0.0,u,3,36,0,5,16,0.0,0.0,Mooy,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,549,218,542,218,533,214,553,218,,,,,,,,0.0,-0.4
,,78916,0,0,-1,1,0,2,0.8,1.8,2,1.3,61,False,,,44,78916.jpg,1.7,0.4,a,3,36,5,167,467,0.3,1.1,Burn,203,0,0,0,2,0,0,0,0,0,0,0,31,8.0,4.5,8.0,2.1,339,128,295,96,259,82,347,126,,,,,,,2.2167487684729066,0.3863636363636363,-0.06818181818181819
0.0,0.0,83299,0,0,-1,1,0,2,0.0,0.0,0,-0.3,62,False,Suspended until 21 Nov,2020-10-18 15:00:19.802843,49,83299.jpg,1.0,3.9,s,3,36,5,48,19653,-0.1,1.0,Dunk,450,0,0,1,11,1,0,0,1,1,0,1,62,59.2,17.3,38.0,11.5,177,72,217,63,149,33,187,62,,,1.0,,,,1.0,0.2040816326530612,-0.2040816326530612
0.0,0.0,86153,0,0,0,0,0,2,0.0,0.0,0,0.0,63,False,Joined Real Betis on a permanent deal on 25/8,2020-08-25 16:00:07.591453,45,86153.jpg,0.0,0.0,u,3,36,0,4,13,0.0,0.0,Montoya,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,481,189,467,189,440,176,486,189,,,,,,,,0.0,-0.4444444444444444
0.0,0.0,93284,0,0,-2,2,0,4,0.0,0.0,0,0.0,64,False,Knee injury - Unknown return date,2020-09-12 09:00:10.364918,48,93284.jpg,0.0,0.1,i,3,36,0,56,244,0.0,0.0,Andone,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,516,52,504,54,484,55,520,56,,,,,,,,0.0,-0.4166666666666667
,,109345,0,0,0,0,0,3,3.2,4.2,3,3.7,65,False,,,50,109345.jpg,4.0,1.2,a,3,36,24,2814,3016,0.7,4.8,March,506,1,1,2,11,0,0,0,0,0,0,2,103,117.4,120.3,104.0,34.2,61,22,29,21,45,24,40,20,2.0,,4.0,,,,4.268774703557312,0.8,0.4
,,110735,0,0,0,0,0,2,0.5,1.5,1,1.0,66,False,,,45,110735.jpg,1.8,2.0,a,3,36,11,318,2094,0.2,2.4,Webster,540,0,0,1,12,0,0,0,1,0,0,0,78,60.0,32.0,74.0,16.6,176,71,161,39,70,10,121,34,,,,,,,1.8333333333333335,0.4,-0.04444444444444443
,,111478,0,0,-2,2,0,2,0.2,1.2,2,0.7,67,False,,,43,111478.jpg,1.0,0.2,a,3,36,2,182,297,0.2,0.5,Veltman,135,0,0,0,3,0,0,0,0,0,0,0,22,16.6,4.9,4.0,2.6,303,122,290,92,291,96,331,120,,,,,,,1.3333333333333335,0.23255813953488372,-0.23255813953488372
,,115382,0,0,1,-1,1,4,2.8,3.8,2,3.3,68,False,,,66,115382.jpg,6.0,6.8,a,3,36,36,5582,26360,0.5,5.5,Maupay,540,4,1,1,12,0,0,0,0,0,0,5,127,174.2,73.3,285.0,53.1,16,6,71,7,7,5,11,4,,,,,1.0,,6.0,0.9090909090909092,0.6060606060606061
,,116216,0,0,0,0,0,3,2.8,3.8,3,3.3,69,False,,,60,116216.jpg,4.2,2.3,a,3,36,25,1648,6491,0.6,4.2,Trossard,515,1,2,2,11,0,0,0,1,0,0,1,74,73.4,134.6,99.0,30.5,137,54,24,18,49,28,52,28,3.0,,,,,,4.368932038834951,0.7000000000000001,0.3666666666666667
,,131897,0,0,0,0,0,1,0.5,1.5,2,1.0,70,False,,,45,131897.jpg,1.8,15.5,a,3,36,11,2075,13973,0.2,2.4,Ryan,540,0,0,1,12,0,0,0,1,0,7,0,73,37.8,0.0,0.0,3.7,236,21,474,44,447,42,319,21,,,,,,,1.8333333333333335,0.4,-0.04444444444444443
25.0,25.0,165210,0,0,-1,1,0,3,-0.1,0.1,0,0.0,71,False,Hamstring injury - 25% chance of playing,2020-09-30 21:00:17.370674,54,165210.jpg,1.7,0.0,d,3,36,5,10,84,0.0,0.9,Jahanbakhsh,28,0,1,0,1,0,0,0,1,0,0,0,27,30.6,41.5,28.0,10.0,264,107,133,85,181,96,212,98,,,,,,,16.071428571428573,0.31481481481481477,-0.05555555555555556
0.0,0.0,167473,0,0,0,0,0,3,0.0,0.0,0,0.0,72,False,Lack of match fitness - Unknown return date,2020-08-15 10:00:11.482611,55,167473.jpg,0.0,0.0,i,3,36,0,8,2,0.0,0.0,Izquierdo,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,568,228,569,228,568,227,572,228,,,,,,,,0.0,-0.36363636363636365
0.0,0.0,178173,0,0,-1,1,0,2,0.0,0.0,0,0.0,73,False,Joined Derby County on loan until the end of the season on 26/8. - Expected back 01 Jul,2020-08-26 10:30:05.746418,44,178173.jpg,0.0,0.0,n,3,36,0,3,6,0.0,0.0,Clarke,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,458,180,440,179,410,164,463,180,,,,,,,,0.0,-0.45454545454545453
100.0,100.0,198869,0,0,0,0,0,2,0.8,1.8,2,1.3,74,False,,2020-09-14 21:30:11.221083,45,198869.jpg,1.8,1.4,a,3,36,11,669,1422,0.3,2.4,White,528,0,0,1,12,0,0,0,1,0,0,0,86,89.0,28.3,8.0,12.7,107,36,176,48,266,85,169,53,,,,,,,1.875,0.4,-0.04444444444444443
,,209362,0,0,0,0,0,2,-0.5,0.5,0,0.0,75,False,,,40,209362.jpg,0.0,8.5,a,3,36,0,2759,7567,0.0,0.0,Bernardo,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,408,150,389,149,352,127,412,149,,,,,,,,0.0,-0.5
100.0,100.0,227127,0,0,0,0,0,3,3.5,4.5,2,4.0,76,False,,2020-09-20 15:30:14.517426,45,227127.jpg,2.8,3.7,a,3,36,14,4022,3922,0.9,3.1,Bissouma,448,1,0,1,9,0,0,0,1,1,0,2,63,62.4,30.6,54.0,14.4,165,66,165,101,103,55,149,77,,,,,,,2.8125,0.6222222222222222,0.17777777777777773
100.0,100.0,232792,0,0,2,-2,0,2,0.5,1.5,1,1.0,77,False,,2020-10-03 21:30:18.742679,47,232792.jpg,2.3,11.4,a,3,36,14,10451,7776,0.2,3.0,Lamptey,462,0,3,0,10,0,0,0,2,0,0,0,75,71.6,92.8,67.0,23.2,146,55,48,11,82,11,74,12,,,,,,,2.7272727272727275,0.4893617021276595,0.0638297872340425
100.0,100.0,233425,0,0,0,0,0,4,1.5,2.5,0,2.0,78,False,,2020-10-15 13:30:16.459744,55,233425.jpg,3.4,0.7,a,3,36,17,599,2394,0.4,3.1,Connolly,284,1,1,1,7,0,0,0,0,0,0,2,46,56.2,34.3,69.0,15.9,185,19,152,22,80,24,128,21,,,,,,,5.387323943661971,0.6181818181818182,0.2545454545454545
,,235382,0,0,0,0,0,3,0.2,1.2,1,0.7,79,False,,,45,235382.jpg,1.8,1.1,a,3,36,9,332,2183,0.2,2.0,Alzate,350,0,0,1,11,0,0,0,1,0,0,0,59,46.0,89.5,23.0,15.9,211,87,51,37,193,100,127,69,,,,,,,2.314285714285714,0.4,-0.04444444444444443
100.0,100.0,243016,0,0,-2,2,0,3,2.8,3.8,1,3.3,80,False,,2020-09-24 00:00:15.701972,53,243016.jpg,5.0,0.1,a,3,36,10,101,110,0.6,1.9,Mac Allister,32,1,0,0,1,0,0,0,0,0,0,3,26,36.2,0.5,7.0,4.4,248,98,353,172,273,144,306,142,4.0,,3.0,,,,28.125,0.9433962264150944,0.5660377358490566
75.0,75.0,108813,0,0,0,0,0,1,-0.4,0.4,0,0.0,503,False,Lack of match fitness - 75% chance of playing,2020-09-12 09:00:11.155698,40,108813.jpg,0.0,1.2,d,3,36,0,702,681,0.0,0.0,Walton,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,400,33,381,12,342,10,404,33,,,,,,,,0.0,-0.5
,,49262,0,0,0,0,0,1,-0.5,0.5,0,0.0,528,False,,,40,49262.jpg,0.0,0.8,a,3,36,0,831,486,0.0,0.0,Steele,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,395,29,376,8,337,6,399,29,,,,,,,,0.0,-0.5
,,220738,0,0,0,0,0,3,-0.5,0.5,0,0.0,550,False,,,45,220738.jpg,0.0,0.0,a,3,36,0,45,46,0.0,0.0,Molumby,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,498,192,486,192,462,180,503,192,,,,,,,,0.0,-0.4444444444444444
,,204676,0,0,0,0,0,4,-0.5,0.5,0,0.0,574,False,,,50,204676.jpg,0.0,0.0,a,3,36,0,139,119,0.0,0.0,Zeqiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,551,58,545,60,540,62,555,62,,,,,,,,0.0,-0.4
100.0,75.0,50175,0,0,0,0,0,4,1.1,1.6,0,0.0,588,False,,2020-10-22 16:00:16.226922,55,50175.jpg,0.0,0.0,a,3,36,0,111,90,0.0,0.0,Welbeck,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,566,61,565,63,565,65,570,65,,,,,,,,0.0,-0.36363636363636365
100.0,100.0,40845,0,0,-1,1,0,3,0.2,0.2,0,0.7,55,False,,2020-09-17 22:00:09.960386,44,40845.jpg,2.0,7.9,a,4,90,4,3668,9587,0.2,0.9,Stephens,157,0,0,0,3,0,0,0,0,0,0,0,22,19.8,6.6,21.0,4.8,293,121,282,151,203,107,297,137,,,,,,,2.2929936305732483,0.45454545454545453,0.0
100.0,100.0,17761,0,0,-1,1,0,2,1.8,1.8,1,2.3,81,False,,2020-09-17 22:00:10.017429,54,17761.jpg,2.3,2.7,a,4,90,7,677,2317,0.4,1.3,Tarkowski,184,0,0,1,3,0,0,0,1,0,0,0,33,44.6,20.8,33.0,9.9,214,87,209,61,165,43,214,73,,,,,,,3.423913043478261,0.4259259259259259,0.05555555555555552
0.0,0.0,17997,0,0,0,0,0,2,0.0,0.0,0,0.3,82,False,Illness - Expected back 31 Oct,2020-10-19 19:00:14.383193,45,17997.jpg,0.3,0.4,i,4,90,1,9,1368,0.1,0.2,Bardsley,270,0,0,0,8,0,0,0,2,0,0,0,24,31.4,12.9,6.0,5.1,261,104,250,76,280,91,292,102,,,,,,,0.33333333333333337,0.06666666666666667,-0.37777777777777777
75.0,75.0,39487,0,0,-1,1,0,2,1.1,1.1,0,2.0,83,False,Calf injury - 75% chance of playing,2020-10-22 13:30:13.791092,44,39487.jpg,2.0,0.6,d,4,90,4,43,1433,0.5,0.9,Pieters,140,0,0,1,3,1,0,0,0,0,0,0,19,7.6,2.0,17.0,2.6,341,129,316,109,218,68,332,121,,,,,,,2.571428571428571,0.45454545454545453,0.0
0.0,0.0,40145,0,0,0,0,0,3,0.0,0.0,0,0.0,84,False,Ankle injury - Unknown return date,2020-08-15 10:00:11.504829,50,40145.jpg,0.0,0.0,i,4,90,0,13,12,0.0,0.0,Cork,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,547,216,538,216,528,212,551,216,,,,,,,,0.0,-0.4
100.0,100.0,41674,0,0,0,0,0,2,2.5,2.5,1,3.0,85,False,,2020-10-12 20:30:21.362818,45,41674.jpg,2.2,0.2,a,4,90,11,327,222,0.7,2.4,Long,364,0,0,1,8,0,0,0,0,0,0,1,62,61.6,10.9,14.0,8.7,172,67,272,86,227,73,233,80,,,,,,,2.71978021978022,0.48888888888888893,0.04444444444444448
100.0,100.0,44683,0,0,-1,1,0,4,-0.2,-0.2,0,0.3,86,False,,2020-09-24 00:00:15.736033,59,44683.jpg,1.0,0.3,a,4,90,2,170,444,0.1,0.3,Rodriguez,82,0,0,0,3,0,0,0,1,0,0,0,5,3.6,11.5,13.0,2.8,364,40,265,37,234,41,328,40,,,,,3.0,,2.1951219512195124,0.1694915254237288,-0.1694915254237288
100.0,100.0,44699,0,0,0,0,0,4,0.8,0.8,1,1.3,87,False,,2020-09-07 00:30:12.603985,60,44699.jpg,1.3,0.1,a,4,90,4,283,346,0.2,0.7,Barnes,156,0,0,1,3,0,0,0,1,0,0,0,7,10.6,39.0,87.0,13.6,326,32,137,18,54,21,160,23,,,,,1.0,,2.3076923076923075,0.21666666666666667,-0.11666666666666665
0.0,0.0,51927,0,0,-1,1,0,2,0.0,0.0,0,0.0,88,False,Thigh injury - Unknown return date,2020-09-07 00:30:12.617922,49,51927.jpg,0.0,0.2,i,4,90,0,16,284,0.0,0.0,Mee,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,530,203,520,203,507,194,534,203,,,,,,,,0.0,-0.4081632653061224
,,60551,0,0,-1,1,0,3,3.2,3.2,1,3.7,89,False,,,54,60551.jpg,3.0,0.6,a,4,90,15,243,852,0.7,2.8,Westwood,364,1,0,1,8,0,0,0,1,0,0,1,72,72.8,71.4,19.0,16.4,140,55,77,54,210,109,122,66,1.0,,4.0,,,,3.708791208791209,0.5555555555555555,0.18518518518518517
100.0,100.0,60586,0,0,-1,1,0,3,1.2,1.2,1,1.7,90,False,,2020-10-15 09:00:16.194612,54,60586.jpg,1.7,0.0,a,4,90,5,24,40,0.3,0.9,Gudmundsson,94,0,0,1,1,0,0,0,0,0,0,0,13,11.4,17.2,9.0,3.8,321,141,218,128,254,131,317,146,3.0,,3.0,,,,4.787234042553192,0.31481481481481477,-0.05555555555555556
,,60689,-1,1,-2,2,0,4,1.2,1.2,1,1.7,91,False,,,63,60689.jpg,2.6,1.3,a,4,90,13,543,4505,0.3,2.1,Wood,364,1,0,1,8,0,0,0,0,0,0,0,23,39.6,7.8,141.0,18.2,230,26,279,41,33,18,112,19,,,,,1.0,,3.214285714285714,0.41269841269841273,0.09523809523809526
75.0,75.0,68983,0,0,-1,1,0,2,-0.2,-0.2,1,0.3,92,False,Knee injury - 75% chance of playing,2020-09-30 20:00:20.120303,44,68983.jpg,1.0,0.1,d,4,90,1,4,133,0.1,0.2,Lowton,4,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,443,173,424,172,392,155,448,173,,,,,,,22.5,0.22727272727272727,-0.22727272727272727
,,81183,0,0,0,0,0,4,-0.2,-0.2,0,0.3,93,False,,,50,81183.jpg,1.3,0.8,a,4,90,4,901,2774,0.1,0.8,Vydra,123,0,0,0,2,0,0,0,0,0,0,0,12,8.6,27.1,65.0,10.1,332,34,179,25,86,26,211,31,,,,,,,2.9268292682926833,0.26,-0.13999999999999999
0.0,0.0,83312,0,0,0,0,0,2,0.0,0.0,0,0.0,94,False,Joined Norwich City on loan until the end of the season on 4/9. - Expected back 01 Jul,2020-09-05 11:00:07.592134,40,83312.jpg,0.0,0.2,n,4,90,0,108,253,0.0,0.0,Gibson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,398,145,379,144,340,120,402,144,,,,,,,,0.0,-0.5
100.0,100.0,90517,0,0,0,0,0,3,-0.2,-0.2,0,0.3,95,False,,2020-09-20 21:00:10.350898,50,90517.jpg,1.0,0.0,a,4,90,2,39,58,0.1,0.4,Brady,60,0,0,0,1,0,0,0,0,0,0,0,7,7.2,2.5,17.0,2.7,345,156,312,160,222,113,330,150,4.0,,5.0,,,,3.0,0.2,-0.2
,,98747,0,0,0,0,1,1,3.8,3.8,1,4.3,96,False,,,55,98747.jpg,3.2,11.7,a,4,90,16,1796,11499,0.8,2.9,Pope,364,0,0,1,8,0,0,0,0,0,11,3,67,80.6,0.0,0.0,8.0,120,18,567,63,566,63,248,18,,,,,,,3.956043956043956,0.5818181818181819,0.21818181818181823
,,103914,0,0,0,0,0,2,1.8,1.8,1,2.3,97,False,,,45,103914.jpg,2.4,3.6,a,4,90,12,601,4007,0.5,2.7,Taylor,364,0,1,1,8,0,0,0,1,0,0,0,68,54.2,37.4,9.0,10.1,190,77,140,35,251,80,210,71,,,,,,,2.967032967032967,0.5333333333333333,0.08888888888888886
,,172782,0,0,0,0,0,3,1.2,1.2,0,1.7,98,False,,,50,172782.jpg,1.8,0.0,a,4,90,9,42,78,0.3,1.8,Brownhill,364,0,0,1,8,0,0,0,1,0,0,0,39,36.4,50.8,51.0,13.8,247,97,112,71,107,57,155,79,,,1.0,,,,2.2252747252747254,0.36,-0.039999999999999994
0.0,0.0,220037,0,0,0,0,0,1,0.0,0.0,0,0.0,99,False,Hip injury - Unknown return date,2020-10-15 09:00:16.232697,40,220037.jpg,0.0,1.4,i,4,90,0,277,1406,0.0,0.0,Peacock-Farrell,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,412,38,393,17,356,15,416,38,,,,,,,,0.0,-0.5
,,433154,0,0,-1,1,0,3,1.2,1.2,1,1.7,100,False,,,59,433154.jpg,2.4,0.5,a,4,90,12,198,935,0.3,2.0,McNeil,364,0,1,1,8,0,0,0,1,0,0,0,59,67.8,110.3,15.0,19.4,152,60,34,26,226,114,102,57,2.0,,2.0,,,,2.967032967032967,0.4067796610169491,0.06779661016949151
,,218023,0,0,1,-1,0,2,-0.5,-0.5,0,0.0,519,False,,,41,218023.jpg,4.0,7.9,a,4,90,8,2062,11629,0.0,2.0,Dunne,180,1,0,0,5,0,0,0,0,0,0,0,35,66.2,21.2,38.0,12.6,156,61,207,59,148,32,171,55,,,,,,,4.0,0.9756097560975611,0.48780487804878053
,,461102,0,0,0,0,0,2,-0.5,-0.5,0,0.0,520,False,,,40,461102.jpg,0.0,0.6,a,4,90,0,643,574,0.0,0.0,Thomas,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,418,158,398,156,363,136,422,157,,,,,,,,0.0,-0.5
,,217401,0,0,0,0,0,3,-0.5,-0.5,0,0.0,535,False,,,45,217401.jpg,0.0,0.0,a,4,90,0,51,29,0.0,0.0,Benson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,497,191,485,191,460,179,502,191,,,,,,,,0.0,-0.4444444444444444
,,195471,0,0,0,0,0,2,-0.5,-0.5,0,0.0,536,False,,,40,195471.jpg,0.0,0.1,a,4,90,0,135,115,0.0,0.0,Driscoll-Glennon,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,406,148,387,147,350,125,410,147,,,,,,,,0.0,-0.5
,,195064,0,0,0,0,0,3,-0.5,-0.5,0,0.0,551,False,,,45,195064.jpg,0.0,0.0,a,4,90,0,32,30,0.0,0.0,Goodridge,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,492,189,480,189,454,176,497,189,,,,,,,,0.0,-0.4444444444444444
,,168399,0,0,0,0,0,1,-0.5,-0.5,0,0.0,583,False,,,40,168399.jpg,0.0,0.0,a,4,90,0,662,59,0.0,0.0,Norris,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,403,35,384,14,346,12,407,35,,,,,,,,0.0,-0.5
,,20310,0,0,-2,2,0,1,0.5,0.0,0,0.0,101,False,,,48,20310.jpg,1.0,0.3,a,5,8,1,108,435,0.0,0.2,Caballero,90,0,0,0,3,0,0,0,0,0,0,0,7,4.2,0.0,0.0,0.4,357,24,498,48,476,47,383,24,,,,,,,1.0,0.20833333333333334,-0.20833333333333334
,,41328,0,0,-1,1,0,2,4.5,4.0,6,4.0,102,False,,,59,41328.jpg,3.4,4.2,a,5,8,17,6338,3052,0.7,2.9,Azpilicueta,320,0,1,2,3,0,0,0,1,0,0,0,72,71.8,39.2,33.0,14.4,145,54,136,33,167,44,150,44,,,,,,,4.78125,0.5762711864406779,0.23728813559322032
,,44346,0,0,-3,3,0,4,0.5,0.0,0,0.0,103,False,,,67,44346.jpg,1.0,0.7,a,5,8,1,321,1471,0.0,0.1,Giroud,17,0,0,0,0,0,0,0,0,0,0,0,3,0.0,1.8,6.0,0.8,587,71,322,45,290,48,374,48,,,4.0,,,,5.294117647058823,0.14925373134328357,-0.14925373134328357
,,82263,0,0,-2,2,0,2,0.5,0.0,0,0.0,104,False,,,58,82263.jpg,0.7,2.0,a,5,8,2,538,4507,0.0,0.3,Alonso,225,0,0,0,6,0,0,0,1,0,0,0,36,37.0,28.1,20.0,8.5,243,98,177,49,208,62,238,83,,,2.0,,,,0.8,0.12068965517241378,-0.22413793103448276
100.0,100.0,85955,0,0,2,-2,2,3,8.2,7.7,3,7.7,105,False,,2020-09-14 21:30:11.281378,52,85955.jpg,7.0,13.0,a,5,8,35,40315,14469,1.5,6.7,Jorginho,432,3,2,2,6,0,0,1,0,0,0,4,129,172.8,64.4,77.0,31.5,19,9,89,60,66,39,48,25,,,,,1.0,,7.291666666666667,1.346153846153846,0.9615384615384615
100.0,100.0,91651,0,0,-1,1,0,3,0.8,0.3,0,0.3,107,False,,2020-08-15 10:00:11.528964,54,91651.jpg,1.3,0.3,a,5,8,4,150,1068,0.1,0.7,Kovacic,130,0,0,0,5,0,0,0,0,0,0,0,22,8.4,10.9,1.0,2.0,337,152,273,148,327,160,354,161,,,,,,,2.769230769230769,0.24074074074074073,-0.12962962962962962
