chance_of_playing_next_round,chance_of_playing_this_round,player_code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,player_type_id,ep_next,ep_this,event_points,form,player_id,in_dreamteam,news,news_added,now_cost,photo,PPG,selected_by_percent,status,team_id,team_code,total_points,transfers_in_event,transfers_out_event,value_form,value_season,web_name,total_minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,PP90,PPMM,VAPM
0.0,0.0,156074,0,0,0,0,0,2,0.0,0.0,0,0.2,16,False,Hamstring injury - Expected back 21 Nov,2020-10-17 22:30:19.025474,45,156074.jpg,3.0,1.6,i,1,3,9,33,11931,0.0,2.0,Holding,270,0,0,1,4,0,0,0,0,0,0,0,58,66.2,1.6,0.0,6.8,157,62,325,115,448,179,267,92,,,,,,,3.0,0.6666666666666666,0.2222222222222222
100.0,100.0,192895,0,0,-1,1,0,2,1.8,1.8,2,1.8,17,False,,2020-10-14 10:30:19.613747,54,192895.jpg,2.6,5.5,a,1,3,13,2168,4912,0.3,2.4,Tierney,440,0,0,1,6,0,0,0,0,0,0,0,77,75.0,57.7,19.0,15.2,134,49,98,22,211,64,138,38,,,,,,,2.659090909090909,0.48148148148148145,0.11111111111111112
,,195735,0,0,-3,3,0,3,2.5,2.5,1,2.5,18,False,,,77,195735.jpg,2.0,0.9,a,1,3,12,1175,1850,0.3,1.6,Pépé,202,1,0,0,4,0,0,0,0,0,0,0,35,38.8,21.4,61.0,12.1,235,94,206,122,91,50,183,88,2.0,,3.0,,2.0,,5.346534653465346,0.2597402597402597,0.0
0.0,0.0,198849,-1,1,-3,3,0,3,0.0,0.0,0,0.0,19,False,Joined Atletico Madrid on loan until the end of the season on 5/10. - Expected back 01 Jul,2020-10-05 22:30:19.674811,47,198849.jpg,0.0,0.1,n,1,3,0,5,389,0.0,0.0,Torreira,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,509,201,496,201,473,189,513,201,,,,,,,,0.0,-0.425531914893617
,,200089,0,0,-2,2,0,3,0.0,0.0,0,0.0,20,False,,,48,200089.jpg,0.0,0.1,a,1,3,0,76,143,0.0,0.0,Willock,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,524,209,514,209,498,202,528,209,,,,,,,,0.0,-0.4166666666666667
100.0,100.0,200641,0,0,-3,3,0,3,0.0,0.0,0,0.0,21,False,,2020-10-05 10:00:15.059375,52,200641.jpg,0.0,0.1,a,1,3,0,40,70,0.0,0.0,Nelson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,558,223,553,223,549,220,562,223,5.0,,,,,,,0.0,-0.3846153846153846
,,205533,0,0,-3,3,0,4,1.0,1.0,1,1.0,22,False,,,57,205533.jpg,2.2,0.8,a,1,3,13,473,2412,0.2,2.3,Nketiah,106,1,0,0,1,0,0,0,0,0,0,3,43,40.6,4.2,42.0,8.5,225,24,298,44,139,34,237,34,,,,,,,11.037735849056604,0.3859649122807018,0.03508771929824565
100.0,100.0,209289,0,0,-1,1,0,3,0.0,0.0,0,0.0,23,False,,2020-09-11 11:00:08.673059,44,209289.jpg,0.0,0.2,a,1,3,0,688,522,0.0,0.0,Smith Rowe,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,462,180,444,180,414,166,467,180,,,,,,,,0.0,-0.45454545454545453
75.0,,223340,0,0,-2,2,0,3,2.4,3.2,3,3.2,24,False,Knock - 75% chance of playing,2020-10-26 14:00:19.932354,53,223340.jpg,3.8,3.0,d,1,3,15,3096,5206,0.6,2.8,Saka,328,1,0,1,3,0,0,0,0,0,0,1,62,76.6,62.1,173.0,31.2,130,50,92,62,27,10,50,27,4.0,,,,,,4.115853658536586,0.7169811320754716,0.33962264150943394
0.0,0.0,242166,-1,1,-3,3,0,3,0.0,0.0,0,0.0,25,False,Joined Hertha Berlin on loan until the end of the season on 5/10. - Expected back 01 Jul,2020-10-05 17:00:15.072120,47,242166.jpg,0.0,0.1,n,1,3,0,11,273,0.0,0.0,Guendouzi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,510,202,497,202,474,190,514,202,,,,,,,,0.0,-0.425531914893617
