element,position,multiplier,is_captain,is_vice_captain
93,1,1,False,False
182,2,1,False,False
407,3,1,False,False
251,4,1,False,False
220,5,1,False,False
239,6,2,True,False
618,7,1,False,False
215,8,1,False,True
91,9,1,False,False
234,10,1,False,False
313,11,1,False,False
131,12,0,False,False
113,13,0,False,False
141,14,0,False,False
127,15,0,False,False
