team_id,gw,points,bench,gw_rank,transfers,hits,total_points,overall_ank,team_value,chip
49030,6,53,5,2536299,1,0,324,1934085,100.3,
49030,7,37,0,6666102,0,0,361,2723469,100.3,
1791053,1,50,0,2644018,0,0,50,2644018,100.0,
1791053,2,47,0,4808808,1,0,97,3806852,100.0,
1791053,3,26,2,6469904,0,0,123,4800669,99.9,
1791053,4,47,2,3676227,2,0,170,4481463,99.9,
1791053,5,59,0,3805635,1,0,229,4260417,99.6,
1791053,6,42,0,4949194,1,0,271,4418846,99.6,
1791053,7,77,1,248928,1,0,348,3341899,99.7,
2948,1,66,8,1129026,0,0,66,1129026,100.0,
2948,2,41,8,5524351,1,0,107,2921022,100.0,
2948,3,36,5,4937274,0,0,143,3412688,100.8,wildcard
2948,4,42,1,4348521,0,0,185,3594251,101.4,
2948,5,77,8,1170389,2,0,262,2544520,101.5,
2948,6,36,11,6045454,1,0,298,3187219,101.8,
2948,7,46,0,5370540,2,4,340,3706199,101.9,
5060461,1,51,9,2534686,0,0,51,2534686,100.0,
5060461,2,48,3,4598051,0,0,99,3593264,100.1,
5060461,3,47,8,2498896,2,0,146,3187529,99.8,
5060461,4,35,15,5407912,1,0,181,3854089,99.5,
5060461,5,34,1,6763502,1,0,215,4881287,99.4,
5060461,6,43,6,4621095,0,0,258,4917560,99.2,
5060461,7,60,3,2068548,0,0,318,4604249,98.9,
