chance_of_playing_next_round,chance_of_playing_this_round,player_code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,player_type_id,ep_next,ep_this,event_points,form,player_id,in_dreamteam,news,news_added,now_cost,photo,PPG,selected_by_percent,status,team_id,team_code,total_points,transfers_in_event,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,PP90,PPMM,VAPM,team_strength,team_short_name,strength_overall_home,strength_overall_away,position_name_short
,,82403,0,0,2,-2,1,3,6.0,5.5,2,6.0,141,False,,,72,82403.jpg,6.5,20.0,a,6,31,26,142202,222601,0.8,3.6,Zaha,360,3,0,1,7,0,0,0,1,0,0,3,64,109.8,59.2,152.0,32.2,29,12,55,40,15,6,18,9,,,,,3.0,,6.499999999999999,0.9027777777777778,0.625,3,CRY,1080,1120,MID
75.0,0.0,86417,0,0,0,0,0,3,1.7,0.0,0,2.3,142,False,Muscle injury - 75% chance of playing,2020-09-27 22:00:12.368852,55,86417.jpg,4.5,0.1,d,6,31,9,49,2028,0.4,1.6,Schlupp,154,0,1,2,0,0,0,0,1,0,0,1,27,37.8,35.0,22.0,9.5,193,80,105,71,163,89,156,78,,,,,,,5.259740259740259,0.8181818181818182,0.4545454545454545,3,CRY,1080,1120,MID
,,141020,0,0,-1,1,0,3,0.0,-0.5,0,0.0,143,False,,,49,141020.jpg,0.0,0.0,a,6,31,0,119,365,0.0,0.0,Meyer,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,501,197,493,198,471,184,505,197,,,,,,,,0.0,-0.4081632653061224,3,CRY,1080,1120,MID
100.0,100.0,173954,0,0,-1,1,0,3,0.7,0.2,1,0.7,144,False,,2020-09-17 13:00:13.792094,44,173954.jpg,1.0,0.4,a,6,31,2,5907,4761,0.2,0.5,Riedewald,20,0,0,0,2,0,0,0,0,0,0,0,6,1.4,0.7,0.0,0.2,343,156,306,149,357,144,351,158,,,,,,,9.0,0.2272727272727273,-0.2272727272727273,3,CRY,1080,1120,MID
,,466955,-1,1,-1,1,0,3,0.0,-0.5,0,0.0,147,False,,,44,466955.jpg,0.0,0.1,a,6,31,0,500,742,0.0,0.0,Pierrick,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,430,171,414,172,374,150,435,171,,,,,,,,0.0,-0.4545454545454545,3,CRY,1080,1120,MID
100.0,100.0,232413,0,0,-1,1,0,3,1.7,1.2,2,1.7,489,False,,2020-09-06 03:00:11.308404,59,232413.jpg,1.5,0.4,a,6,31,6,2235,4437,0.3,1.0,Eze,188,0,0,0,7,0,0,0,0,0,0,0,23,22.0,28.0,35.0,8.5,246,101,127,81,117,60,174,85,4.0,,,,,,2.8723404255319145,0.2542372881355932,-0.0847457627118644,3,CRY,1080,1120,MID
100.0,100.0,41823,0,0,-1,1,0,3,-0.2,0.8,1,0.3,149,False,,2020-09-10 13:00:10.111328,49,41823.jpg,1.0,0.0,a,7,11,1,398,348,0.1,0.2,Delph,32,0,0,0,1,0,0,0,0,0,0,0,6,4.0,0.8,0.0,0.5,320,144,301,146,453,179,339,151,,,,,,,2.8125,0.2040816326530612,-0.2040816326530612,4,EVE,1200,1210,MID
,,55422,0,0,-1,1,0,3,1.8,2.8,5,2.3,150,False,,,69,55422.jpg,2.0,1.0,a,7,11,8,2014,4172,0.3,1.2,Sigurdsson,151,0,1,0,2,0,0,0,0,0,0,0,46,47.2,49.1,22.0,11.9,148,60,73,53,168,92,127,67,3.0,,3.0,,1.0,,4.768211920529802,0.2898550724637681,0.0,4,EVE,1200,1210,MID
,,100649,-1,1,-2,2,0,3,-0.5,0.5,0,0.0,154,False,,,58,100649.jpg,0.0,0.1,a,7,11,0,400,1223,0.0,0.0,Bernard,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,553,224,555,225,553,223,556,224,4.0,,4.0,,,,,0.0,-0.3448275862068966,4,EVE,1200,1210,MID
100.0,0.0,120250,0,0,0,0,0,3,0.8,0.0,0,1.3,158,False,,2020-10-02 13:30:15.425544,55,120250.jpg,2.3,0.3,a,7,11,7,545,6180,0.2,1.3,André Gomes,232,0,0,1,3,0,0,0,0,0,0,0,33,22.4,22.6,22.0,6.7,243,98,151,91,165,90,217,103,,,,,,,2.7155172413793105,0.41818181818181815,0.05454545454545452,4,EVE,1200,1210,MID
,,153133,0,0,-1,1,0,3,1.8,2.8,5,2.3,159,False,,,59,153133.jpg,2.3,0.2,a,7,11,7,1191,1053,0.4,1.2,Iwobi,88,0,1,0,2,0,0,0,0,0,0,0,19,29.2,19.9,8.0,5.6,224,92,166,101,226,119,236,108,,,,,,,7.159090909090909,0.3898305084745762,0.05084745762711861,4,EVE,1200,1210,MID
0.0,0.0,160987,0,0,0,0,0,3,0.0,0.0,0,0.0,161,False,Achilles injury - Expected back 28 Nov,2020-08-15 10:00:11.729677,50,160987.jpg,0.0,0.0,i,7,11,0,21,19,0.0,0.0,Gbamin,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,520,207,516,208,504,199,524,207,,,,,,,,0.0,-0.4,4,EVE,1200,1210,MID
,,173807,0,0,-1,1,0,3,0.5,1.5,2,1.0,163,False,,,54,173807.jpg,1.3,0.1,a,7,11,4,402,849,0.2,0.7,Davies,92,0,0,0,2,0,0,0,0,0,0,0,24,22.2,2.8,0.0,2.5,245,100,272,139,534,215,302,133,,,,,,,3.9130434782608696,0.24074074074074076,-0.12962962962962962,4,EVE,1200,1210,MID
,,232826,0,0,-1,1,0,3,-0.5,0.5,0,0.0,168,False,,,44,232826.jpg,0.0,0.5,a,7,11,0,2634,6217,0.0,0.0,Gordon,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,423,167,407,168,367,146,428,167,,,,,,,,0.0,-0.4545454545454545,4,EVE,1200,1210,MID
100.0,0.0,119765,-1,1,-1,1,0,3,0.8,0.0,0,1.3,502,False,,2020-09-30 21:00:18.185983,54,119765.jpg,2.3,1.2,a,7,11,7,2057,21971,0.2,1.3,Allan,270,0,0,1,3,0,0,0,0,0,0,0,38,54.4,20.4,8.0,8.2,131,50,163,98,223,117,181,89,,,,,,,2.333333333333333,0.4259259259259259,0.05555555555555552,4,EVE,1200,1210,MID
,,60025,1,-1,3,-3,1,3,10.2,11.2,18,10.7,508,True,,,78,60025.jpg,8.8,39.5,a,7,11,35,641941,51984,1.4,4.5,Rodríguez,329,3,2,1,4,0,0,0,0,0,0,5,141,180.6,169.3,110.0,46.1,7,4,4,4,29,12,6,4,1.0,,1.0,,,,9.574468085106382,1.1282051282051284,0.8717948717948719,4,EVE,1200,1210,MID
,,121599,-1,1,-1,1,0,3,2.2,3.2,5,2.7,512,False,,,54,121599.jpg,2.8,1.6,a,7,11,11,7730,15009,0.5,2.0,Doucouré,334,0,1,1,5,0,0,0,1,0,0,0,74,73.8,86.8,39.0,19.9,80,32,25,17,105,55,51,29,,,,,,,2.964071856287425,0.5185185185185185,0.1481481481481481,4,EVE,1200,1210,MID
,,126187,0,0,-1,1,0,3,-0.5,-1.0,0,0.0,115,False,,,59,126187.jpg,2.0,0.2,a,8,54,2,1603,801,0.0,0.3,Loftus-Cheek,60,0,0,0,1,0,0,0,0,0,0,0,2,0.0,1.3,0.0,0.0,561,228,297,143,560,227,563,228,,,,,,,3.0,0.3389830508474576,0.0,2,FUL,1000,1020,MID
,,55038,0,0,-2,2,0,3,-0.5,-1.0,0,0.0,172,False,,,48,55038.jpg,0.0,0.0,a,8,54,0,102,404,0.0,0.0,McDonald,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,479,189,469,190,439,173,483,189,,,,,,,,0.0,-0.4166666666666667,2,FUL,1000,1020,MID
,,61916,-1,1,-2,2,0,3,-0.5,-1.0,0,0.0,174,False,,,48,61916.jpg,0.0,0.0,a,8,54,0,46,206,0.0,0.0,Johansen,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,481,190,471,191,441,174,485,190,5.0,,,,,,,0.0,-0.4166666666666667,2,FUL,1000,1020,MID
,,76357,-1,1,-2,2,0,3,0.5,0.0,2,1.0,175,False,,,53,76357.jpg,1.3,0.1,a,8,54,4,129,1435,0.2,0.8,Cairney,270,0,0,0,7,0,0,0,2,0,0,0,40,32.4,56.7,7.0,9.6,214,88,61,45,231,123,155,77,4.0,,5.0,,,,1.3333333333333337,0.24528301886792456,-0.1320754716981132,2,FUL,1000,1020,MID
,,83543,-1,1,-3,3,0,3,-0.5,-1.0,0,0.0,177,False,,,52,83543.jpg,0.0,0.1,a,8,54,0,109,813,0.0,0.0,Knockaert,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,527,210,524,211,514,203,531,210,1.0,,4.0,,,,,0.0,-0.3846153846153846,2,FUL,1000,1020,MID
,,92259,-1,1,-2,2,0,3,0.5,0.0,1,1.0,180,False,,,48,92259.jpg,1.2,0.1,a,8,54,5,211,1157,0.2,1.0,Kebano,115,0,0,0,3,0,0,0,0,0,0,0,11,1.4,14.6,47.0,5.9,344,157,195,116,77,42,229,106,6.0,,1.0,,,,3.9130434782608696,0.25,-0.16666666666666669,2,FUL,1000,1020,MID
,,166324,-1,1,-1,1,0,3,1.5,1.0,2,2.0,187,False,,,54,166324.jpg,2.0,0.1,a,8,54,8,236,939,0.4,1.5,Cavaleiro,336,0,0,0,11,0,0,0,0,0,0,0,29,29.6,81.2,43.0,15.3,223,91,28,20,90,48,84,50,2.0,,,,,,2.142857142857143,0.3703703703703704,0.0,2,FUL,1000,1020,MID
,,168765,0,0,-1,1,0,3,-0.2,-0.7,0,0.3,188,False,,,49,168765.jpg,1.5,0.1,a,8,54,3,69,1362,0.1,0.6,Onomah,131,0,0,0,7,0,0,0,0,0,0,0,7,12.0,7.4,2.0,2.1,281,115,237,127,271,131,312,137,,,,,,,2.0610687022900764,0.3061224489795918,-0.1020408163265306,2,FUL,1000,1020,MID
,,170271,-1,1,-3,3,0,3,-0.5,-1.0,0,0.0,189,False,,,47,170271.jpg,0.0,0.1,a,8,54,0,205,793,0.0,0.0,Seri,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,477,188,467,189,435,170,481,188,,,,,,,,0.0,-0.425531914893617,2,FUL,1000,1020,MID
,,197030,-1,1,-1,1,0,3,0.2,-0.3,1,0.7,190,False,,,49,197030.jpg,1.0,0.1,a,8,54,4,164,1044,0.1,0.8,Kamara,193,0,0,0,8,0,0,0,1,0,0,0,2,10.8,42.0,32.0,8.0,286,120,91,63,123,64,187,93,,,,,2.0,,1.865284974093264,0.2040816326530612,-0.2040816326530612,2,FUL,1000,1020,MID
,,203325,0,0,0,0,0,3,2.5,2.0,2,3.0,191,False,,,45,203325.jpg,2.5,2.5,a,8,54,10,6836,21774,0.7,2.2,Anguissa,297,0,1,0,8,0,0,0,0,0,0,0,65,92.0,76.1,28.0,19.7,51,21,36,28,136,70,52,30,,,,,,,3.0303030303030303,0.5555555555555556,0.1111111111111111,2,FUL,1000,1020,MID
50.0,50.0,153366,0,0,0,0,0,3,0.1,-0.2,0,0.7,373,False,Knock - 50% chance of playing,2020-09-30 13:30:17.140962,45,153366.jpg,2.0,0.9,d,8,54,4,184,13633,0.2,0.9,Reed,159,0,0,0,7,0,0,0,0,0,0,0,31,23.6,19.6,8.0,5.1,236,96,168,103,219,114,248,115,,,,,,,2.2641509433962264,0.4444444444444444,0.0,2,FUL,1000,1020,MID
0.0,0.0,151086,0,0,0,0,0,3,0.0,0.0,0,0.3,493,False,Knock - Unknown return date,2020-09-30 13:30:17.324660,45,151086.jpg,1.0,0.6,i,8,54,1,158,9154,0.1,0.2,Lemina,20,0,0,0,0,0,0,0,0,0,0,0,2,2.4,0.1,0.0,0.3,335,150,332,162,402,152,347,155,,,,,,,4.5,0.2222222222222222,-0.2222222222222222,2,FUL,1000,1020,MID
,,219352,0,0,0,0,0,3,1.0,0.5,1,1.0,557,False,,,50,219352.jpg,1.0,0.0,a,8,54,1,1148,356,0.2,0.2,Lookman,23,0,0,0,0,0,0,0,0,0,0,0,9,11.2,12.8,2.0,2.6,284,118,212,121,272,132,298,130,,,,,,,3.9130434782608696,0.2,-0.2,2,FUL,1000,1020,MID
0.0,,46483,-1,1,-1,1,0,3,0.0,0.5,0,0.0,220,False,Transferred to Sampdoria,2020-10-05 07:20:56.395434,44,46483.jpg,0.0,0.5,u,9,13,0,682,7975,0.0,0.0,Silva,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,395,163,378,164,334,141,400,163,,,,,,,,0.0,-0.4545454545454545,4,LEI,1200,1240,MID
,,51938,0,0,-1,1,0,3,0.8,0.8,0,0.3,221,False,,,54,51938.jpg,1.0,0.2,a,9,13,2,255,1304,0.1,0.4,Albrighton,30,0,0,0,0,0,0,0,0,0,0,0,6,0.6,0.9,2.0,0.3,350,160,300,145,274,133,350,157,4.0,,,,,,6.0,0.1851851851851852,-0.1851851851851852,4,LEI,1200,1240,MID
,,61604,-1,1,-1,1,0,3,0.5,0.5,0,0.0,222,False,,,44,61604.jpg,0.0,0.5,a,9,13,0,4384,4379,0.0,0.0,James,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,398,164,381,165,337,142,403,164,,,,,,,,0.0,-0.4545454545454545,4,LEI,1200,1240,MID
100.0,75.0,106837,0,0,0,0,0,3,3.8,2.8,0,3.3,225,False,,2020-09-27 17:30:12.668875,55,106837.jpg,5.3,0.6,a,9,13,16,1201,10609,0.6,2.9,Praet,224,1,1,1,3,0,0,0,0,0,0,1,59,79.8,57.7,68.0,20.6,65,25,57,41,48,24,49,27,,,,,,,6.428571428571428,0.9636363636363636,0.6,4,LEI,1200,1240,MID
,,166989,0,0,-1,1,0,3,3.8,3.8,2,3.3,228,False,,,64,166989.jpg,3.2,1.9,a,9,13,13,9030,16292,0.5,2.0,Tielemans,360,1,0,1,7,0,0,0,1,0,0,0,77,96.4,57.7,35.0,18.9,46,19,58,42,118,61,55,32,2.0,,4.0,,3.0,,3.25,0.5,0.18750000000000006,4,LEI,1200,1240,MID
,,168580,0,0,-2,2,0,3,1.8,1.8,2,1.3,229,False,,,63,168580.jpg,2.3,1.5,a,9,13,7,1618,17352,0.2,1.1,Pérez,190,0,0,1,3,0,0,0,0,0,0,0,18,8.6,10.6,52.0,7.2,297,128,229,125,71,36,207,101,,,,,2.0,,3.31578947368421,0.36507936507936506,0.0476190476190476,4,LEI,1200,1240,MID
75.0,75.0,172632,-1,1,-2,2,0,3,0.4,0.4,0,0.0,230,False,Illness - 75% chance of playing,2020-09-25 21:00:14.856498,53,172632.jpg,0.0,0.1,d,9,13,0,43,1108,0.0,0.0,Gray,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,533,214,530,215,520,207,537,214,5.0,,3.0,,,,,0.0,-0.37735849056603776,4,LEI,1200,1240,MID
75.0,100.0,172780,0,0,0,0,0,3,3.2,4.2,0,3.7,231,False,Calf injury - 75% chance of playing,2020-10-04 13:30:15.292081,70,172780.jpg,4.0,2.6,d,9,13,12,13154,76833,0.5,1.7,Maddison,64,1,1,0,2,0,0,0,0,0,0,1,35,36.2,23.8,9.0,6.9,201,84,148,89,213,111,211,102,1.0,,1.0,,4.0,,16.875,0.5714285714285714,0.2857142857142857,4,LEI,1200,1240,MID
,,197469,0,0,-1,1,0,3,0.8,0.8,1,0.3,234,False,,,49,197469.jpg,1.0,0.1,a,9,13,1,145,492,0.1,0.2,Choudhury,1,0,0,0,0,0,0,0,0,0,0,0,3,0.4,0.8,0.0,0.1,352,161,303,147,480,189,357,160,,,,,,,90.0,0.2040816326530612,-0.2040816326530612,4,LEI,1200,1240,MID
,,201666,0,0,1,-1,0,3,6.2,6.2,2,5.7,235,False,,,71,201666.jpg,5.0,6.5,a,9,13,20,34623,85075,0.8,2.8,Barnes,360,1,1,1,7,0,0,0,0,0,0,3,54,85.2,52.2,195.0,33.2,58,22,67,50,7,3,13,7,,,,,,,5.0,0.7042253521126761,0.4225352112676057,4,LEI,1200,1240,MID
0.0,0.0,203341,0,0,-1,1,0,3,0.0,0.0,0,0.7,236,False,Groin Injury - Expected back 19 Dec,2020-09-23 14:00:18.236626,49,203341.jpg,2.5,0.8,i,9,13,5,216,12440,0.1,1.0,Ndidi,180,0,0,1,2,0,0,0,0,0,0,0,29,47.8,1.5,0.0,4.9,144,57,291,141,482,190,250,116,,,,,,,2.5,0.5102040816326531,0.1020408163265306,4,LEI,1200,1240,MID
,,86881,0,0,0,0,0,3,2.8,2.8,1,2.3,518,False,,,45,86881.jpg,2.5,3.1,a,9,13,10,19470,26884,0.5,2.2,Mendy,358,0,1,1,7,0,0,0,2,0,0,0,48,58.8,39.7,8.0,10.6,116,44,96,66,218,113,135,72,,,,,,,2.5139664804469266,0.5555555555555556,0.1111111111111111,4,LEI,1200,1240,MID
,,228798,0,0,0,0,0,3,1.0,1.0,1,0.5,541,False,,,60,228798.jpg,1.0,0.1,a,9,13,1,862,948,0.1,0.2,Ünder,35,0,0,0,1,0,0,0,0,0,0,0,2,2.6,3.3,4.0,1.0,334,149,265,137,258,128,329,147,,,,,,,2.5714285714285707,0.16666666666666666,-0.16666666666666666,4,LEI,1200,1240,MID
75.0,0.0,28690,0,0,-2,2,0,3,-0.4,0.0,0,0.0,193,False,Groin Injury - 75% chance of playing,2020-09-19 16:30:18.234418,58,28690.jpg,2.0,0.4,d,10,2,2,148,5421,0.0,0.3,Hernández,61,0,0,0,3,0,0,0,0,0,0,0,8,7.6,2.9,2.0,1.3,302,132,270,138,280,135,325,143,3.0,,3.0,,,,2.950819672131148,0.3448275862068966,0.0,3,LEE,1090,1130,MID
,,72222,0,0,1,-1,0,3,4.2,3.7,2,4.7,198,False,,,56,72222.jpg,5.8,7.8,a,10,2,23,43921,72116,0.8,4.1,Klich,336,2,1,1,7,0,0,0,1,0,0,2,96,137.8,87.5,56.0,28.2,13,6,24,16,65,34,26,14,,,,,1.0,,6.160714285714287,1.0357142857142858,0.6785714285714286,3,LEE,1090,1130,MID
0.0,0.0,80179,0,0,-1,1,0,3,0.0,0.0,0,0.0,199,False,Hip injury - Unknown return date,2020-09-10 13:00:10.171553,49,80179.jpg,0.0,0.0,i,10,2,0,13,94,0.0,0.0,Forshaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,497,196,489,197,464,182,501,196,,,,,,,,0.0,-0.4081632653061224,3,LEE,1090,1130,MID
100.0,0.0,221399,0,0,0,0,0,3,2.5,0.0,0,3.0,203,False,,2020-09-27 12:30:11.084077,55,221399.jpg,5.3,2.1,a,10,2,16,12024,18051,0.5,2.9,Harrison,270,1,1,1,7,0,0,0,0,0,0,1,52,84.2,74.8,41.0,20.0,59,23,39,30,100,53,50,28,4.0,,4.0,,,,5.333333333333334,0.9636363636363636,0.6,3,LEE,1090,1130,MID
,,155405,0,0,0,0,0,3,1.5,1.0,2,2.0,204,False,,,50,155405.jpg,2.8,3.0,a,10,2,11,10213,25932,0.4,2.2,Phillips,360,0,1,1,8,0,0,0,1,0,0,0,79,108.2,130.0,8.0,24.6,32,14,8,6,221,115,39,21,1.0,,1.0,,,,2.75,0.5599999999999999,0.15999999999999998,3,LEE,1090,1130,MID
,,165808,0,0,2,-2,1,3,5.8,5.3,2,6.3,205,False,,,57,165808.jpg,6.0,10.2,a,10,2,24,77591,99773,1.1,4.2,Costa,335,2,1,1,8,0,0,0,0,0,0,2,70,107.4,49.2,89.0,24.7,34,15,72,52,37,18,38,20,,,,,,,6.4477611940298525,1.0526315789473684,0.7017543859649122,3,LEE,1090,1130,MID
,,173821,-1,1,-1,1,0,3,0.5,0.0,1,1.0,206,False,,,49,173821.jpg,1.0,0.1,a,10,2,4,375,633,0.2,0.8,Roberts,173,0,0,0,4,0,0,0,0,0,0,0,16,13.6,31.6,11.0,5.6,278,113,113,75,203,105,234,107,,,,,,,2.0809248554913293,0.2040816326530612,-0.2040816326530612,3,LEE,1090,1130,MID
,,204642,0,0,-1,1,0,3,-0.5,-1.0,0,0.0,207,False,,,49,204642.jpg,0.0,0.0,a,10,2,0,105,305,0.0,0.0,Grot,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,509,201,501,202,483,191,513,201,,,,,,,,0.0,-0.4081632653061224,3,LEE,1090,1130,MID
,,215460,0,0,-1,1,0,3,0.2,-0.3,1,0.7,209,False,,,44,215460.jpg,1.0,0.4,a,10,2,2,10389,5162,0.2,0.5,Poveda-Ocampo,69,0,0,0,0,0,0,0,0,0,0,0,9,11.0,15.3,25.0,5.1,285,119,189,114,148,79,245,114,,,,,,,2.608695652173913,0.2272727272727273,-0.2272727272727273,3,LEE,1090,1130,MID
,,221610,0,0,-1,1,0,3,-0.5,-1.0,0,0.0,210,False,,,49,221610.jpg,1.0,0.0,a,10,2,1,80,325,0.0,0.2,Shackleton,9,0,0,0,1,0,0,0,0,0,0,0,6,3.0,0.4,0.0,0.3,332,148,317,153,487,192,349,156,,,,,,,10.0,0.2040816326530612,-0.2040816326530612,3,LEE,1090,1130,MID
0.0,0.0,434138,-1,1,-1,1,0,3,0.0,0.0,0,0.0,212,False,Joined Swindon Town on loan until the end of the season on 21/9. - Expected back 01 Jul,2020-09-23 08:30:15.575137,44,434138.jpg,0.0,0.8,n,10,2,0,1487,8560,0.0,0.0,Stevens,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,427,169,411,170,371,148,432,169,,,,,,,,0.0,-0.4545454545454545,3,LEE,1090,1130,MID
0.0,,480216,0,0,0,0,0,3,0.0,-1.0,0,0.0,533,False,Joined UD Logrones on loan until the end of the season on 5/10. - Expected back 01 Jul,2020-10-05 23:00:19.642720,45,480216.jpg,0.0,0.0,n,10,2,0,260,535,0.0,0.0,Bogusz,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,475,187,464,188,432,169,479,187,,,,,,,,0.0,-0.4444444444444444,3,LEE,1090,1130,MID
,,219961,0,0,0,0,0,3,1.4,0.9,0,0.0,570,False,,,55,219961.jpg,0.0,0.0,a,10,2,0,1935,366,0.0,0.0,Raphinha,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,549,220,551,221,547,217,552,220,,,,,,,,0.0,-0.3636363636363637,3,LEE,1090,1130,MID
100.0,100.0,15157,-1,1,-2,2,0,3,1.5,2.0,1,1.0,241,False,,2020-09-25 19:30:11.891509,53,15157.jpg,1.0,0.1,a,11,14,3,314,925,0.2,0.6,Milner,59,0,0,0,1,0,0,0,0,0,0,0,18,15.8,22.2,6.0,4.4,271,111,153,92,239,126,260,121,4.0,,,,1.0,,4.576271186440677,0.18867924528301888,-0.18867924528301888,5,LIV,1330,1350,MID
,,41733,0,0,-1,1,0,3,2.8,3.3,2,2.3,243,False,,,54,41733.jpg,2.2,1.5,a,11,14,9,4231,13412,0.4,1.7,Wijnaldum,360,0,0,1,11,0,0,0,0,0,0,0,39,39.2,48.7,73.0,16.1,183,74,77,57,43,22,77,45,,,,,,,2.25,0.40740740740740733,0.03703703703703707,5,LIV,1330,1350,MID
100.0,50.0,56979,0,0,-1,1,0,3,0.8,0.7,0,0.3,244,False,,2020-09-20 18:30:17.718166,54,56979.jpg,1.5,1.2,a,11,14,3,1680,9254,0.1,0.6,Henderson,110,0,0,0,2,0,0,0,0,0,0,0,25,20.0,20.8,7.0,4.8,253,103,159,95,232,124,254,118,,,3.0,,,,2.4545454545454546,0.2777777777777777,-0.0925925925925926,5,LIV,1330,1350,MID
100.0,100.0,68312,0,0,-1,1,0,3,0.5,1.0,0,0.0,247,False,,2020-10-07 10:30:13.130207,64,68312.jpg,0.0,0.0,a,11,14,0,174,405,0.0,0.0,Shaqiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,567,230,568,230,567,229,568,230,5.0,,5.0,,,,,0.0,-0.3125,5,LIV,1330,1350,MID
0.0,0.0,81880,0,0,-1,1,0,3,0.0,0.0,0,0.0,248,False,Knee injury - Unknown return date,2020-08-21 14:30:10.835560,64,81880.jpg,0.0,0.0,i,11,14,0,68,254,0.0,0.0,Chamberlain,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,568,231,569,231,568,230,569,231,,,,,,,,0.0,-0.3125,5,LIV,1330,1350,MID
75.0,0.0,110979,0,0,-1,1,1,3,6.1,0.0,0,7.7,251,False,Illness - 75% chance of playing,2020-10-02 22:00:17.931191,119,110979.jpg,8.3,6.2,d,11,14,25,29583,149639,0.6,2.1,Mané,259,3,0,1,4,0,0,0,1,0,0,4,84,135.8,79.0,208.0,42.4,14,7,32,24,5,2,9,6,,,,,3.0,,8.687258687258687,0.6974789915966387,0.5294117647058824,5,LIV,1330,1350,MID
,,116643,0,0,0,0,0,3,2.8,3.3,2,2.3,253,False,,,55,116643.jpg,2.8,1.5,a,11,14,11,6580,14321,0.4,2.0,Fabinho,302,0,1,1,9,0,0,0,0,0,0,0,64,61.4,30.7,2.0,9.5,109,41,117,78,279,134,157,79,,,4.0,,,,3.2781456953642385,0.509090909090909,0.14545454545454542,5,LIV,1330,1350,MID
,,118748,1,-1,3,-3,1,3,7.5,8.0,13,7.0,254,True,,,123,118748.jpg,10.2,44.2,a,11,14,41,234021,45679,0.6,3.3,Salah,360,5,1,1,11,0,0,0,0,0,0,4,155,217.8,180.7,300.0,69.8,3,2,2,2,1,1,1,1,6.0,,2.0,,2.0,,10.25,0.8292682926829267,0.6666666666666665,5,LIV,1330,1350,MID
,,153682,-1,1,-3,3,0,3,0.5,1.0,0,0.0,257,False,,,52,153682.jpg,0.0,0.1,a,11,14,0,70,439,0.0,0.0,Harry Wilson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,528,211,525,212,515,204,532,211,,,,,,,,0.0,-0.3846153846153846,5,LIV,1330,1350,MID
,,157882,0,0,-3,3,0,3,1.5,2.0,1,1.0,258,False,,,62,157882.jpg,1.0,0.2,a,11,14,3,590,1749,0.2,0.5,Minamino,50,0,0,0,3,0,0,0,0,0,0,0,10,7.2,1.3,30.0,3.8,307,135,298,144,132,68,271,123,,,,,,,5.4,0.16129032258064516,-0.16129032258064516,5,LIV,1330,1350,MID
,,175592,0,0,-1,1,0,3,2.5,3.0,1,2.0,261,False,,,54,175592.jpg,1.8,0.6,a,11,14,7,1120,7893,0.4,1.3,Keita,243,0,0,1,7,0,0,0,0,0,0,0,33,17.6,25.8,92.0,13.6,265,109,137,85,34,15,104,55,,,,,,,2.592592592592593,0.3333333333333333,-0.03703703703703703,5,LIV,1330,1350,MID
,,206915,0,0,0,0,0,3,0.8,1.3,1,0.3,263,False,,,45,206915.jpg,1.0,0.5,a,11,14,2,1283,3584,0.1,0.4,Jones,53,0,0,0,3,0,0,0,0,0,0,0,6,8.2,14.6,2.0,2.5,301,131,194,115,267,130,299,131,,,,,,,3.3962264150943398,0.2222222222222222,-0.2222222222222222,5,LIV,1330,1350,MID
